Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.captivi,1.0,"hic, qui, uideo, sto, hic, captiuus, duo",7,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.143,-0.143,"hic, hic, captiuus",0.429
plautus.captivi,2.0,"ille, qui, asto, hic, sto, ambo, non, sedeo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.captivi,3.0,"hic, tu, ego, testis, sum, ego, uerus, loquor",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.062,0.0,"hic, tu",0.25
plautus.captivi,4.0,"senex, qui, hic, habito, hegio, sum, hic, pater",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"hic, hic",0.25
plautus.captivi,5.0,"sed, is, quo, pacisco, seruio, suus, sui, pater",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.captivi,6.0,"is, ego, hic, apud, tu, proloquor, si, opera, do",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN",-0.056,-0.056,"hic, tu",0.222
plautus.captivi,7.0,"senex, hic, sum, filius, nascor, duo",6,"0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.167
plautus.captivi,8.0,"alter, quadrimus, puer, seruus, surripio",5,"NaN, NaN, 0.0, -0.5, NaN",-0.1,-0.1,surripio,0.2
plautus.captivi,9.0,"is, hinc, profugio, uendo, in, alide",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"profugio, uendo",0.333
plautus.captivi,10.0,"pater, hic, iam, hic, teneo, bonus, sum",7,"0.0, NaN, NaN, NaN, NaN, 1.0, NaN",0.143,0.0,"hic, hic",0.286
plautus.captivi,11.0,"nego, hercules, ille, ulter, accedo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.captivi,12.0,"si, non, ubi, sedeo, locus, sum, sum, ubi, ambulis",9,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.captivi,13.0,"quando, histrio, cogo, mendico",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.captivi,14.0,"ego, ego, tuus, causa, ne, erro, non, rumpo, sum",9,"NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.captivi,15.0,"tu, qui, possum, ops, uester, censeo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,tu,0.167
plautus.captivi,16.0,"accipio, relicuom, alienus, uti, nihil, moror",6,"NaN, NaN, -0.5, NaN, NaN, NaN",-0.083,-0.083,,0.0
plautus.captivi,17.0,"fugitiuus, ille, ut, dico, ante, hic, pater",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"fugitiuus, hic",0.286
plautus.captivi,18.0,"domus, qui, profugio, dominus, aufero, uendo",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"profugio, uendo",0.333
plautus.captivi,19.0,"is, postquam, hic, emo, do, is, hic, nascor, suus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, emo, hic",0.333
plautus.captivi,20.0,"peculiaris, quia, quasi, unus, aetas, sum",6,"0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
