Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.casina,1.0,"saluo, iubeo, spectator, bonus",4,"NaN, NaN, NaN, 1.0",0.25,0.0,,0.0
plautus.casina,2.0,"fides, qui, facio, magnus, et, tu, fides",7,"1.0, NaN, NaN, 0.0, NaN, NaN, 1.0",0.286,0.0,tu,0.143
plautus.casina,3.0,"si, uerus, dico, signum, clarus, do, ego",7,"NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN",0.143,0.0,,0.0
plautus.casina,4.0,"ut, tu, ego, sum, aequus, iam, inde, ab, principium, scio",10,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.05,0.0,tu,0.1
plautus.casina,5.0,"qui, uto, uinum, ueto, sapio, puto",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,6.0,"et, qui, libet, uetus, specto, fabula",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,7.0,"atque, antiquus, opus, et, uerbum, cum, tu, placeo",8,"NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN",0.062,0.0,tu,0.125
plautus.casina,8.0,"aequus, sum, placeo, ante, alius, uetus, fabula",7,"0.5, NaN, NaN, NaN, NaN, 0.0, 0.0",0.071,0.0,,0.0
plautus.casina,9.0,"nam, nunc, nouus, qui, pro-eo, comoedia",6,"NaN, NaN, 1.0, NaN, NaN, 0.0",0.167,0.0,,0.0
plautus.casina,10.0,"multus, sum, nequiores, quam, nummus, nosco",6,"0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,nummus,0.167
plautus.casina,11.0,"nos, postquam, populus, rumor, intellego",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.casina,12.0,"studiosus, expeto, tu, plautinas, fabula",5,"0.5, NaN, NaN, NaN, 0.0",0.1,0.0,tu,0.2
plautus.casina,13.0,"antiquus, is, edo, comoedia",4,"0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,14.0,"quam, tu, probo, qui, sum, in, senex",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.143
plautus.casina,15.0,"nam, iuniorum, qui, sum, non, nosco, scio",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,16.0,"uerus, ut, cognosco, do, opera, sedulus",6,"0.5, NaN, NaN, NaN, -0.5, NaN",0.0,-0.083,,0.0
plautus.casina,17.0,"hic, cum, primus, ago, sum, uinco, omnis, fabula",8,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0",0.062,0.0,hic,0.125
plautus.casina,18.0,"is, tempestas, flos, poetaris, sum",5,"NaN, 0.0, 0.5, NaN, NaN",0.1,0.0,,0.0
plautus.casina,19.0,"qui, nunc, abeo, hinc, in, communis, locus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.casina,20.0,"sed, tamen, absum, prosum, pro, praesens",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,21.0,"tu, omnis, opus, magnus, sum, oro, uolo",7,"NaN, NaN, 0.5, 0.0, NaN, NaN, NaN",0.071,0.0,tu,0.143
plautus.casina,22.0,"benignus, ut, opera, do, ad, nos, grex",7,"1.0, NaN, -0.5, NaN, NaN, NaN, NaN",0.071,-0.071,,0.0
plautus.casina,23.0,"eicio, ex, animus, cura, atque, alienus, aes",7,"NaN, NaN, 0.5, -1.0, NaN, -0.5, NaN",-0.143,-0.214,,0.0
plautus.casina,24.0,"ne, quis, formido, flagitator, suus",5,"NaN, NaN, -1.0, NaN, NaN",-0.2,-0.2,,0.0
plautus.casina,25.0,"ludo, sum, ludus, do, sum, argentarius",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,26.0,"tranquillus, sum, alcedonia, sum, circum, forum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,27.0,"ratio, uto, ludus, posco, nemo",5,"0.0, NaN, NaN, NaN, -0.5",-0.1,-0.1,,0.0
plautus.casina,28.0,"secundus, ludus, reddo, autem, nemo",5,"0.0, NaN, NaN, NaN, -0.5",-0.1,-0.1,,0.0
plautus.casina,29.0,"auris, uaciuus, si, sum, animus, ad-uerto",6,"NaN, 0.0, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
plautus.casina,30.0,"comoedia, nomen, do, tu, uolo",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.2
plautus.casina,31.0,"clerumenoe, uoco, hic, comoedia",4,"NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.25
plautus.casina,32.0,"graeca, latina, sortio, deiphilus",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,33.0,"hic, graeca, scribo, post, is, rursum, denuo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
plautus.casina,34.0,"latina, plautus, cum, latro, nomen",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,latro,0.2
plautus.casina,35.0,"senex, hic, maritus, habito, is, sum, filius",7,"0.0, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,"hic, maritus",0.286
plautus.casina,36.0,"is, unus, cum, pater, in, illic, habito, aedes",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,37.0,"sum, is, quidam, seruus, qui, in, morbus, cubo",8,"NaN, NaN, NaN, -0.5, NaN, NaN, -1.0, NaN",-0.188,-0.188,,0.0
plautus.casina,38.0,"immo, hercules, uerus, in, lectus, ne, quis, mentior",8,"NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN",0.062,0.0,,0.0
plautus.casina,39.0,"is, seruus, sed, abhinc, annus, facio, sum, sedecim",8,"NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN",-0.062,-0.062,,0.0
plautus.casina,40.0,"cum, conspicor, sum, primulus, crepusculum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,41.0,"puella, expono, adeo, extemplo, ad, mulier",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,mulier,0.167
plautus.casina,42.0,"qui, ille, expono, oro, ut, is, do, sui",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,43.0,"exoro, aufero, defero, recta, domus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,44.0,"do, era, suus, oro, ut, is, curo, educo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,45.0,"era, facio, educo, magnus, industria",5,"NaN, NaN, NaN, 0.0, 0.5",0.1,0.0,,0.0
plautus.casina,46.0,"quasi, si, sum, ex, sui, nata, non, multus, secus",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.casina,47.0,"postquam, is, adolesco, ad, is, aetas, ut, uis",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0",0.125,0.0,,0.0
plautus.casina,48.0,"placeo, possum, is, puella, hic, senex",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.167
plautus.casina,49.0,"amo, efflictim, et, item, contra, filius",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,50.0,"nunc, sui, uterque, contra, legio, paro",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.casina,51.0,"pater, filius, clam, alter, alter",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.casina,52.0,"pater, ad-lego, uilicus, qui, posco",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,uilicus,0.2
plautus.casina,53.0,"sui, iste, uxor, is, spero, si, is, sum, do",9,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,uxor,0.111
plautus.casina,54.0,"sui, sum, paro, clam, uxor, excubiae, foris",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,uxor,0.143
plautus.casina,55.0,"filius, is, autem, armiger, ad-lego, suus",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.casina,56.0,"qui, sui, is, uxor, posco, scio, si, is, impetro",9,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,uxor,0.111
plautus.casina,57.0,"sum, qui, amo, intra, praesaepe, suus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,58.0,"senex, uxor, sentio, uir, amor, opera, do",7,"0.0, 0.0, NaN, 0.5, 1.0, -0.5, NaN",0.143,-0.071,uxor,0.143
plautus.casina,59.0,"propterea, unus, consentio, cum, filius",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,60.0,"ille, autem, postquam, filius, sentio, suus",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.casina,61.0,"idem, ille, amo, et, sum, impedimentum, sui",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.casina,62.0,"hinc, adulescens, peregre, ablego, pater",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,adulescens,0.2
plautus.casina,63.0,"scio, is, mater, do, opera, absum, tamen",7,"NaN, NaN, 0.0, NaN, -0.5, NaN, NaN",-0.071,-0.071,,0.0
plautus.casina,64.0,"is, ne, exspecto, hodie, in, hic, comoedia",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.143
plautus.casina,65.0,"in, urbs, non, redeo, plautus, nolo",6,"NaN, 0.5, NaN, NaN, NaN, NaN",0.083,0.0,,0.0
plautus.casina,66.0,"pons, interrumpo, qui, sum, is, in, iter",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.casina,67.0,"sum, hic, inter, sui, qui, nunc, credo, dico",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.casina,68.0,"quaeso, hercules, quis, iste, sum, seruilis, nuptiae",7,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN",-0.071,-0.071,nuptiae,0.143
plautus.casina,69.0,"seruio, -ne, uxor, duco, aut, posco, sui",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,uxor,0.143
