Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.cistellaria,1.0,"cum, ego, antehac, tu, amo, et, ego, amica, sum, cerno",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.1
plautus.cistellaria,2.0,"meus, gmnasium, et, mater, tuus, tum, is, ego, hodie",9,"0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.cistellaria,3.0,"aperio, tu, atque, hic, soror, si, meus, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,"tu, hic",0.25
plautus.cistellaria,4.0,"qui, magis, possum, ego, honor, eo, habitus",7,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN",0.143,0.0,,0.0
plautus.cistellaria,5.0,"nescio, nisi, ut, meus, sum, animus, fio, non, possum, arbitror",10,"NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN",0.05,0.0,,0.0
plautus.cistellaria,6.0,"ita, omnis, relinquo, res, ego, frequens, opera, do",8,"NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN",-0.062,-0.062,,0.0
plautus.cistellaria,7.0,"is, ego, tu, amo, et, is, ab, ego, magnus, ineo, gratia",11,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0",0.091,0.0,tu,0.091
plautus.cistellaria,8.0,"pol, iste, quidem, nos, pretium, facilis, sum, frequento",8,"NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN",0.188,0.0,pretium,0.125
plautus.cistellaria,9.0,"tu, utilis, habeo",3,"NaN, 1.0, NaN",0.333,0.0,tu,0.333
plautus.cistellaria,10.0,"ita, in, prandium, nos, lepidus, atque, nitidus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
plautus.cistellaria,11.0,"accipio, apud, tu, ut, semper, memini",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
plautus.cistellaria,12.0,"libet, edepol, animus, facio, et, fio, ab, ego",8,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.062,0.0,edepol,0.125
plautus.cistellaria,13.0,"qui, tu, arbitror, uolo, is, ut, expetesso",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.cistellaria,14.0,"qui, ille, dico, qui, secundus, uenio, ueho, sum, tranquillus, mare",10,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
