Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.curculio,1.0,"quo, tu, hic, nox, dico, proficisco, foras",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"tu, hic",0.286
plautus.curculio,2.0,"cum, istoc, orno, cum, hic, pompa, phaedrome",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,"hic, phaedrome",0.286
plautus.curculio,3.0,"quo, uenus, cupidus, impero, suadeo, amor",6,"NaN, 1.0, -0.5, NaN, NaN, 1.0",0.25,-0.083,,0.0
plautus.curculio,4.0,"si, medius, nox, sum, siue, sum, primus, uesperus",8,"NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN",0.062,0.0,,0.0
plautus.curculio,5.0,"si, status, condico, cum, hostis, intercedo, dies",7,"NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0",-0.143,-0.143,,0.0
plautus.curculio,6.0,"tamen, sum, eo, quo, impero, ingratia",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
plautus.curculio,7.0,"at, tandem, tandem, tandem, sum, odiosus, ego",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.curculio,8.0,"iste, quidem, neque, bellum, sum, neque, memorabilis",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.curculio,9.0,"tueor, tu, puer, sum, lauo, luceo, cereus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.143
plautus.curculio,10.0,"ego, -ne, apicularis, congero, opus, non, fero",7,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.071,0.0,,0.0
plautus.curculio,11.0,"ex, dulcis, orior, melculum, dulcis, meus",6,"NaN, 0.5, NaN, NaN, 0.5, 0.0",0.167,0.0,,0.0
plautus.curculio,12.0,"nam, quo, tu, dico, ego, eo, si, tu, ego, rogo",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, tu",0.2
plautus.curculio,13.0,"dico, ut, scio, si, rogito, quis, respondeo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.curculio,14.0,"hic, aesculapi, fanum, sum, multus, iam, annus, scio",8,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,hic,0.125
plautus.curculio,15.0,"hic, proximus, ille, ostium, sum, oculissimus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.curculio,16.0,"saluus, ualeo, -ne, ostium, occludo",5,"1.0, NaN, NaN, NaN, NaN",0.2,0.0,,0.0
plautus.curculio,17.0,"careo, -ne, febris, tu, heri, uel, nudiustertius",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.curculio,18.0,"et, heri, ceno, derideo, -ne, ego",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,derideo,0.167
plautus.curculio,19.0,"quis, tu, ergo, insanus, rogito, ualeo, ostium",7,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.143,-0.143,"tu, insanus",0.286
plautus.curculio,20.0,"bellus, hercules, uideo, et, taciturnus",5,"1.0, NaN, NaN, NaN, 0.0",0.2,0.0,,0.0
plautus.curculio,21.0,"numquam, ullus, uerbum, mutio, cum, aperio, taceo",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.curculio,22.0,"cum, ille, nox, clanculis, ad, ego, exeo, taceo",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.curculio,23.0,"numquid, tu, qui, tu, aut, genus, indignus, sum, tuus",9,"NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.0",-0.111,-0.111,"tu, tu",0.222
plautus.curculio,24.0,"facio, aut, incipio, facinus, facio, phaedrome",6,"NaN, NaN, NaN, -1.0, NaN, NaN",-0.167,-0.167,"facinus, phaedrome",0.333
plautus.curculio,25.0,"num, tu, pudicus, qui, insidiae, loco",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,"tu, pudicus, insidiae",0.5
plautus.curculio,26.0,"aut, quam, pudicus, sum, oportet, nemo",6,"NaN, NaN, 0.5, NaN, NaN, -0.5",0.0,-0.083,pudicus,0.167
plautus.curculio,27.0,"neque, ego, ille, sino, iuppiter, ego, item, uolo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.curculio,28.0,"ita, tuus, confero, amo, semper, si, sapio",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.curculio,29.0,"ne, is, qui, amo, populus, si, scio, tu, sum, probrum",10,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0",-0.1,-0.1,"tu, probrum",0.2
plautus.curculio,30.0,"semper, curo, ne, sum, intestabilis",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,,0.0
plautus.curculio,31.0,"quis, iste, sum, uerbum, caueo, ut, incedo, uia",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.curculio,32.0,"qui, amo, amo, testis, praesens",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.curculio,33.0,"quin, leno, hic, habito, nemo, hinc, prohibeo, neque, ueto",9,"NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN",-0.056,-0.056,"leno, hic",0.222
plautus.curculio,34.0,"quin, qui, palam, sum, uenal, si, argentum, sum, emo",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"uenal, emo",0.222
plautus.curculio,35.0,"nemo, eo, quisquam, publicus, prohibeo, uia",6,"-0.5, NaN, NaN, 0.0, NaN, 0.0",-0.083,-0.083,,0.0
plautus.curculio,36.0,"dum, ne, per, fundus, saepio, facio, semita",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.curculio,37.0,"dum, tu, abstineo, nubo, uiduo, uirgo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, nubo, uirgo",0.5
plautus.curculio,38.0,"iuuentus, et, puer, liber, amo, quis, lubet",7,"NaN, NaN, 0.0, 0.5, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.curculio,39.0,"leno, hic, sum, aedes, malus, iste, euenat",7,"NaN, NaN, NaN, 0.0, -1.0, NaN, NaN",-0.143,-0.143,"leno, hic",0.286
