Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.epidicus,1.0,"heus, adulescens, quis, propero, ego, reprehendo, pallium",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,adulescens,0.143
plautus.epidicus,2.0,"familiaris, fateor, nam, odium, sum, nimium, familiaris",7,"1.0, NaN, NaN, -1.0, NaN, 0.0, 1.0",0.143,-0.143,,0.0
plautus.epidicus,3.0,"respicio, uerus, thesprio, oh",4,"NaN, 0.5, NaN, NaN",0.125,0.0,oh,0.25
plautus.epidicus,4.0,"epidicum, -ne, ego, conspicor",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.epidicus,5.0,"satis, rectus, oculus, uto",4,"0.5, 1.0, 0.0, NaN",0.375,0.0,,0.0
plautus.epidicus,6.0,"saluus, deus, do, qui, uelis",5,"1.0, 0.0, NaN, NaN, NaN",0.2,0.0,,0.0
plautus.epidicus,7.0,"uenio, saluus, gaudeo, quis, ceterum, qui, is, assoleo",8,"NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.125,0.0,,0.0
plautus.epidicus,8.0,"cena, tu, do, spondeo, quis, ego, accipio, si, do",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.111
plautus.epidicus,9.0,"quis, tu, ago, ut, ual, exemplum, adsum, intellego, euge",9,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.111
plautus.epidicus,10.0,"corpulentus, uideo, atque, habeo, hic, gratia",6,"-0.5, NaN, NaN, NaN, NaN, 1.0",0.083,-0.083,hic,0.167
plautus.epidicus,11.0,"quam, quidem, tu, iam, diu, perdo, oportet",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.epidicus,12.0,"paruus, iam, furtificus, sum, quam, antehac, quis, ita, rapio, propalam",10,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.epidicus,13.0,"deus, immortalis, tu, infelicent, ut, tu, sum, gradus, grandis",9,"0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.056,0.0,"tu, tu",0.222
plautus.epidicus,14.0,"nam, ut, apud, portus, tu, conspicio, curriculum, occipio, sequor",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.111
plautus.epidicus,15.0,"uix, adipiscendi, potestas, modo, sum, scurra, sum, scio",8,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.062,0.0,scurra,0.125
plautus.epidicus,16.0,"tu, sum, equidem, homo, militaris, audacter, quam, uolo, dico",9,"NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,"tu, audacter",0.222
plautus.epidicus,17.0,"quis, aio, perpetuus, -ne, ualeo, uarius, qui, uarius, ualeo",9,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.epidicus,18.0,"capreago, homo, non, placeo, ego, neque, pantherinus, genus",8,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.epidicus,19.0,"quis, tu, uolo, dico, nisi, qui, sum, ut, ille, res, respondeo, probus",12,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0",0.083,0.0,"tu, probus",0.167
plautus.epidicus,20.0,"quis, erilis, noster, filius, ualeo, pugilice, atque, athleticus",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5",0.062,0.0,,0.0
plautus.epidicus,21.0,"uoluptabilis, ego, nuntius, tuus, aduenio, apporto, thesprio",7,"1.0, NaN, NaN, 0.0, NaN, NaN, NaN",0.143,0.0,,0.0
plautus.epidicus,22.0,"sed, ubi, sum, is, aduenio, simul, ubi, is, ergo, sum, nisi, si, in, uidulus",14,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.epidicus,23.0,"aut, si, in, mellina, affero, deus, tu, perdo, tu, uolo",10,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,"tu, tu",0.2
plautus.epidicus,24.0,"percontaris, opera, do, opus, reddo, tu",6,"NaN, -0.5, NaN, 0.5, NaN, NaN",0.0,-0.083,tu,0.167
plautus.epidicus,25.0,"ius, dico, ego, decet, iam, tu, autem, nos, praetorqueo, gero",10,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.05,0.0,tu,0.1
