Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.menaechmi,1.0,"salus, primus, iam, ab, principium, propitius",6,"1.0, 0.5, NaN, NaN, NaN, 1.0",0.417,0.0,,0.0
plautus.menaechmi,2.0,"ego, atque, tu, spectator, nuntio",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.2
plautus.menaechmi,3.0,"apporto, tu, plautus, lingua, non, manus",6,"NaN, NaN, NaN, -0.5, NaN, 0.0",-0.083,-0.083,tu,0.167
plautus.menaechmi,4.0,"quaeso, ut, benignus, accipio, auris",5,"NaN, NaN, 1.0, NaN, NaN",0.2,0.0,,0.0
plautus.menaechmi,5.0,"nunc, argumentum, accipio, atque, animus, ad-uerto",6,"NaN, 0.0, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
plautus.menaechmi,6.0,"quam, possum, in, uerbum, confero, paucus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,7.0,"atque, hic, poeta, facio, in, comoedia",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,hic,0.167
plautus.menaechmi,8.0,"omnis, res, gero, sum, athenae, autumo",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,9.0,"quo, ille, tu, graecus, uideo, magis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.167
plautus.menaechmi,10.0,"ego, nusquam, dico, nisi, ubi, facio, dico",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.menaechmi,11.0,"atque, adeo, hic, argumentum, graecisso, tamen",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.167
plautus.menaechmi,12.0,"non, atticisso, uerus, sicilicissitat",4,"NaN, NaN, 0.5, NaN",0.125,0.0,,0.0
plautus.menaechmi,13.0,"hic, argumentum, antelogium, hic, sum",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, hic",0.4
plautus.menaechmi,14.0,"nunc, argumentum, tu, demetior, do",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.2
plautus.menaechmi,15.0,"non, modius, neque, trimodium, uerus, ipse, horreum",7,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.071,0.0,,0.0
plautus.menaechmi,16.0,"tantus, ad, narro, argumentum, adsum, benignitas",6,"NaN, NaN, NaN, 0.0, NaN, 1.0",0.167,0.0,,0.0
plautus.menaechmi,17.0,"mercator, quidam, sum, syracusis, senex",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,18.0,"is, sum, nascor, filius, geminus, duo",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,19.0,"ita, forma, similis, puer, ut, mater, suus",7,"NaN, 1.0, 0.0, 0.0, NaN, 0.0, NaN",0.143,0.0,,0.0
plautus.menaechmi,20.0,"non, inter-nosco, possum, qui, mamma, do",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.menaechmi,21.0,"neque, adeo, mater, ipse, qui, ille, pario",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,22.0,"ut, quidem, ille, dico, ego, qui, puer, uideo",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.menaechmi,23.0,"ego, ille, non, uideo, ne, quis, uester, censeo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.menaechmi,24.0,"postquam, iam, puer, septuennis, sum, pater",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,25.0,"onero, nauo, magnus, multus, mercibus",5,"NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
plautus.menaechmi,26.0,"impono, geminus, alter, in, nauo, pater",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,27.0,"tarentum, aueho, cum, sui, ad, mercor, simul",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,mercor,0.143
plautus.menaechmi,28.0,"ille, relinquo, alter, apud, mater, domus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.menaechmi,29.0,"tarenti, ludo, fors, sum, cum, illic, uenio",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,30.0,"mortalis, multus, ut, ad, ludus, conuenio",6,"-1.0, 0.0, NaN, NaN, NaN, NaN",-0.167,-0.167,,0.0
plautus.menaechmi,31.0,"puer, aberro, inter, homo, ab, pater",6,"0.0, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,32.0,"epidamniensis, quidam, ibi, mercator, sum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.menaechmi,33.0,"is, puer, tollo, aueho, epidamnium",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,34.0,"pater, is, autem, postquam, puer, perdo",6,"0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.menaechmi,35.0,"animus, despondeo, is, is, aegritudo",5,"0.5, NaN, NaN, NaN, -1.0",-0.1,-0.2,,0.0
plautus.menaechmi,36.0,"paucus, dies, post, tarenti, emorior, sum",6,"0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,37.0,"postquam, syracusas, de, is, res, redeo, nuntius",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,38.0,"ad, auus, puer, puer, sub-rumpo, alter",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,39.0,"patro, puer, tarenti, sum, emorior",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.menaechmi,40.0,"immuto, nomen, auus, hic, geminus, alter",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.167
plautus.menaechmi,41.0,"ita, ille, diligo, qui, subruptus, sum, alter",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.menaechmi,42.0,"ille, nomen, indo, ille, qui, domus, sum",7,"NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.menaechmi,43.0,"menaechmo, idem, qui, alter, nomen, sum",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.menaechmi,44.0,"et, ipse, idem, sum, auus, uoco, nomen",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.menaechmi,45.0,"propterea, ille, nomen, memini, facilis",5,"NaN, NaN, 0.0, NaN, 0.5",0.1,0.0,,0.0
plautus.menaechmi,46.0,"quia, ille, clamor, uideo, flagito",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
