Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.mercator,1.0,"duo, res, simul, nunc, ago, decretum, sum, ego",8,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.mercator,2.0,"et, argumentum, et, meus, amor, eloquor",6,"NaN, 0.0, NaN, 0.0, 1.0, NaN",0.167,0.0,,0.0
plautus.mercator,3.0,"non, ego, item, facio, ut, alius, in, comoedia",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.mercator,4.0,"uis, uideo, amor, facio, qui, aut, nox, aut, dies",9,"1.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0",0.222,0.0,,0.0
plautus.mercator,5.0,"aut, solus, aut, luna, miseria, narro, suus",7,"NaN, -0.5, NaN, NaN, -1.0, NaN, NaN",-0.214,-0.214,,0.0
plautus.mercator,6.0,"qui, pol, ego, credo, humanus, querimonia",6,"NaN, NaN, NaN, NaN, 0.0, -0.5",-0.083,-0.083,,0.0
plautus.mercator,7.0,"non, tantus, facio, quis, uolo, quis, non, uolo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.mercator,8.0,"tu, narro, potis, meus, nunc, miseria",6,"NaN, NaN, 0.0, 0.0, NaN, -1.0",-0.167,-0.167,tu,0.167
plautus.mercator,9.0,"graeca, hic, uoco, emporus, philemonis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.2
plautus.mercator,10.0,"idem, latina, mercator, maccus, titus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.mercator,11.0,"pater, ad, mercor, hinc, ego, meus, mitto, rhodum",8,"0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,mercor,0.125
plautus.mercator,12.0,"biennium, iam, facio, sum, postquam, abeo, domus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.mercator,13.0,"ibi, amo, occipio, forma, eximius, mulier",6,"NaN, NaN, NaN, 1.0, 1.0, 0.0",0.333,0.0,mulier,0.167
plautus.mercator,14.0,"sed, is, ut, sum, implico, dico, si, opera, sum, auris",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",-0.05,-0.05,,0.0
plautus.mercator,15.0,"atque, ad-uerto, ad, animus, adsum, benignitas",6,"NaN, NaN, NaN, 0.5, NaN, 1.0",0.25,0.0,,0.0
plautus.mercator,16.0,"et, hic, parum, hercules, mos, amator, insto",7,"NaN, NaN, 0.0, NaN, 0.5, NaN, NaN",0.071,0.0,"hic, amator",0.286
plautus.mercator,17.0,"per, meus, per, conor, sum, tu, sum, inde, exilico",9,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.111
plautus.mercator,18.0,"nam, amor, hic, cunctus, uitio, sectaris, soleo",7,"NaN, 1.0, NaN, 0.0, NaN, NaN, NaN",0.143,0.0,hic,0.143
plautus.mercator,19.0,"cura, aegritudo, nimius, elegantia",4,"-1.0, -1.0, NaN, 1.0",-0.25,-0.5,nimius,0.25
plautus.mercator,20.0,"hic, non, modo, ille, qui, amo, sed, quisque, attigo",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.111
plautus.mercator,21.0,"magnus, atque, solidus, multo, infortunium",5,"0.0, NaN, 0.0, NaN, -1.0",-0.2,-0.2,,0.0
plautus.mercator,22.0,"neque, pol, profecto, quisquam, sine, grandis, malus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, -1.0",-0.143,-0.143,,0.0
plautus.mercator,23.0,"praequam, res, patior, studeo, elegantia",5,"NaN, 0.0, NaN, NaN, 1.0",0.2,0.0,,0.0
plautus.mercator,24.0,"sed, amor, accedo, etiam, hic, qui, dico, paruus",8,"NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.125,0.0,hic,0.125
plautus.mercator,25.0,"insomnis, aerumna, error, terror, et, fuga",6,"-0.5, -0.5, -1.0, -1.0, NaN, -0.5",-0.583,-0.583,,0.0
plautus.mercator,26.0,"ineptia, stultitia, adeo, et, temeritas",5,"-1.0, -1.0, NaN, NaN, -0.5",-0.5,-0.5,"stultitia, temeritas",0.4
plautus.mercator,27.0,"incogito, excors, immodestia",3,"NaN, -1.0, -1.0",-0.667,-0.667,,0.0
plautus.mercator,28.0,"petulantia, et, cupiditas, maleuolentia",4,"-0.5, NaN, -0.5, -1.0",-0.5,-0.5,petulantia,0.25
plautus.mercator,29.0,"inertia, auiditas, desidia, iniuria",4,"0.0, NaN, NaN, -1.0",-0.25,-0.25,inertia,0.25
plautus.mercator,30.0,"inopia, contumelia, et, dispendium",4,"-1.0, -1.0, NaN, NaN",-0.5,-0.5,contumelia,0.25
plautus.mercator,31.0,"multiloquium, parumloquium, hic, ideo, fio, quia",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.mercator,32.0,"qui, nihil, attingo, ad, res, neque, sum, usus",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.mercator,33.0,"tam, amator, profero, saepe, ad-uerto, tempus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,amator,0.167
plautus.mercator,34.0,"hic, pauciloquium, rursum, idcirco, praedico",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.2
