Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.miles_gloriosus,1.0,"curo, ut, splendor, meus, sum, clipeus, clarus",7,"NaN, NaN, 1.0, 0.0, NaN, NaN, 0.5",0.214,0.0,,0.0
plautus.miles_gloriosus,2.0,"quam, sol, radius, sum, olim, cum, sudus, sum, soleo",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,3.0,"ut, ubi, utor, uenio, contra, consero, manus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.miles_gloriosus,4.0,"praestringo, oculus, acies, in, acies, hostis",6,"NaN, 0.0, 0.0, NaN, 0.0, -1.0",-0.167,-0.167,,0.0
plautus.miles_gloriosus,5.0,"nam, ego, hic, machaera, ego, consolaris, uolo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
plautus.miles_gloriosus,6.0,"ne, lamento, neue, animus, despondeo",5,"NaN, NaN, NaN, 0.5, NaN",0.1,0.0,,0.0
plautus.miles_gloriosus,7.0,"quia, sui, iam, pridem, ferior, gestito",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,gestito,0.167
plautus.miles_gloriosus,8.0,"qui, misero, gestio, et, frater, facio, ex, hostis",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0",-0.125,-0.125,misero,0.125
plautus.miles_gloriosus,9.0,"sed, ubi, artotrogus, hic, sum, sto, propter, uir",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.062,0.0,hic,0.125
plautus.miles_gloriosus,10.0,"fortis, atque, fortuno, et, forma, regius",6,"0.5, NaN, NaN, NaN, 1.0, 0.0",0.25,0.0,,0.0
plautus.miles_gloriosus,11.0,"tum, bellator, mars, haud, audeo, dico",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,12.0,"neque, aequiperaris, suus, uirtus, ad, tuus",6,"NaN, NaN, NaN, 1.0, NaN, 0.0",0.167,0.0,,0.0
plautus.miles_gloriosus,13.0,"qui, -ne, ego, seruo, in, campus, curculioniis",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.miles_gloriosus,14.0,"ubi, bumbomachides, clutomistaridysarchides",3,"NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,15.0,"sum, imperator, summus, neptuni, nepos",5,"NaN, 0.5, NaN, NaN, 0.0",0.1,0.0,,0.0
plautus.miles_gloriosus,16.0,"memini, nempe, ille, dico, cum, arma, aureus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.5",0.071,0.0,,0.0
plautus.miles_gloriosus,17.0,"qui, tu, legio, difflo, spiritus",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,tu,0.2
plautus.miles_gloriosus,18.0,"quasi, uenio, folium, aut, paniculis, tectorium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tectorium,0.167
plautus.miles_gloriosus,19.0,"iste, quidem, edepol, nihil, sum, nihil, hercules, hic, quidem, sum",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"edepol, hic",0.2
plautus.miles_gloriosus,20.0,"praeut, alius, dico, qui, tu, numquam, facio",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.miles_gloriosus,21.0,"periurus, hic, homo, si, quis, uideo",6,"-1.0, NaN, 0.0, NaN, NaN, NaN",-0.167,-0.167,"periurus, hic",0.333
plautus.miles_gloriosus,22.0,"aut, gloriaris, plenus, quam, illic, sum",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.miles_gloriosus,23.0,"ego, sui, habeo, ego, ego, mancupio, do",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,24.0,"nisi, unus, epityrum, estur, insanus, bene",6,"NaN, NaN, NaN, NaN, -1.0, NaN",-0.167,-0.167,insanus,0.167
plautus.miles_gloriosus,25.0,"ubi, tu, sum, ecce, edepol, uel, elephantus, in, india",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"tu, edepol",0.222
plautus.miles_gloriosus,26.0,"quo, pacisco, is, pugno, praefringo, bracchium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,27.0,"quis, bracchium, ille, dico, uolo, femur",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,28.0,"at, indiligenter, iceram, pol, si, quidem",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,29.0,"co-nitor, sum, per, corium, per, uiscera",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,30.0,"per, os, elephantus, transmineret, bracchium",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.miles_gloriosus,31.0,"nolo, iste, hic, nunc, ne, hercules, opera, pretium, quidem, sum",10,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 1.0, NaN, NaN",0.05,-0.05,"hic, pretium",0.2
plautus.miles_gloriosus,32.0,"ego, tu, narro, tuus, qui, uirtus, scio",7,"NaN, NaN, NaN, 0.0, NaN, 1.0, NaN",0.143,0.0,tu,0.143
plautus.miles_gloriosus,33.0,"uenter, creo, omnis, hic, aerumna, auris",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,hic,0.167
plautus.miles_gloriosus,34.0,"peraurienda, sum, ne, dens, dentio",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,35.0,"et, adsentandum, sum, quisquis, hic, mentibitur",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.miles_gloriosus,36.0,"quis, illic, qui, dico, ehem, scio, iam, quis, uolo, dico",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,37.0,"facio, hercules, sum, memini, fio, quis, is, sum, quisquis, sum",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.miles_gloriosus,38.0,"habeo, tabella, uolo, rogo, habeo, et, stilis",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
