Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.mostellaria,1.0,"exeo, e, culina, sum, foras, mastigia",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.mostellaria,2.0,"qui, ego, inter, patina, exhibeo, argutiae",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,patina,0.167
plautus.mostellaria,3.0,"egredior, erilis, permities, ex, aedes",5,"NaN, NaN, -1.0, NaN, 0.0",-0.2,-0.2,,0.0
plautus.mostellaria,4.0,"ego, pol, tu, rus, si, uiuo, ulciscor, probus",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0",0.125,0.0,"tu, ulciscor, probus",0.375
plautus.mostellaria,5.0,"exeo, inquam, nidor, e, culina, quis, lateo",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.mostellaria,6.0,"quis, tu, malus, hic, ante, aedes, clamitatio, sum",8,"NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN",-0.125,-0.125,"tu, hic",0.25
plautus.mostellaria,7.0,"an, rus, censeo, tu, sum, abscedo, ab, aedes",8,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.125
plautus.mostellaria,8.0,"abeo, rus, abeo, dierecte, abscedo, ab, ianua",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.mostellaria,9.0,"em, hic, uolo, pereo, cur, ego, uerbero",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, uerbero",0.286
plautus.mostellaria,11.0,"quia, uiuo, patior, sine, modo, aduenio, senex",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.mostellaria,12.0,"sine, modo, uenio, saluus, qui, absum, comes",7,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN",0.143,0.0,,0.0
plautus.mostellaria,13.0,"neque, uerus, similis, loquor, neque, uerus, frutex",7,"NaN, 0.5, 0.0, NaN, NaN, 0.5, 0.0",0.143,0.0,,0.0
plautus.mostellaria,14.0,"comedo, quisquam, ut, quisquam, absum, possiet",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.mostellaria,15.0,"tu, urbanus, uerus, scurra, deliciae, populus",6,"NaN, 0.5, 0.5, NaN, NaN, 0.0",0.167,0.0,"tu, scurra, deliciae",0.5
plautus.mostellaria,16.0,"rus, ego, tu, obiecto, sanus, hic, credo, tranio",8,"0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN",0.125,0.0,"tu, hic",0.25
plautus.mostellaria,17.0,"qui, tu, in, pistrinum, scio, actus, trado",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.mostellaria,18.0,"cis, hercules, paucus, tempestas, tranio",5,"NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
plautus.mostellaria,19.0,"augeo, rus, numerus, genus, ferratilis",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.mostellaria,20.0,"nunc, dum, tu, lubet, liceo, poto, perdo, res",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,tu,0.125
plautus.mostellaria,21.0,"corrumpo, erilis, adulescens, bonus",4,"NaN, NaN, NaN, 1.0",0.25,0.0,adulescens,0.25
plautus.mostellaria,22.0,"dies, nox, bibo, pergraecor",4,"0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.mostellaria,23.0,"amica, emo, libero, pasco",4,"NaN, NaN, NaN, NaN",nan,nan,emo,0.25
plautus.mostellaria,24.0,"parasitus, obsono, pollucibiliter",3,"-0.5, NaN, NaN",-0.167,-0.167,parasitus,0.333
plautus.mostellaria,25.0,"hic, mando, tu, cum, peregre, hinc, eo, senex",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"hic, tu",0.25
plautus.mostellaria,26.0,"hoci, -ne, modo, hic, res, curo, offendo, suus",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hoci, hic",0.25
plautus.mostellaria,27.0,"hoci, -ne, bonus, sum, officium, seruio, existimo",7,"NaN, NaN, 1.0, NaN, 0.5, NaN, NaN",0.214,0.0,hoci,0.143
plautus.mostellaria,28.0,"ut, erus, suus, corrumpo, et, res, et, filius",8,"NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,erus,0.125
plautus.mostellaria,29.0,"nam, ego, ille, corrumpo, duco, cum, hic, facio, studeo",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.111
plautus.mostellaria,30.0,"quo, nemo, adaeque, iuuentus, ex, omnis, attica",7,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN",-0.071,-0.071,,0.0
plautus.mostellaria,31.0,"antehac, sum, habitus, parcus, neque, magis, contineo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.mostellaria,32.0,"is, nunc, in, alius, pars, palma, possideo",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.mostellaria,33.0,"uirtus, is, facio, tuus, et, magisterius, tuus",7,"1.0, NaN, NaN, 0.0, NaN, NaN, 0.0",0.143,0.0,,0.0
plautus.mostellaria,34.0,"quis, tu, malus, ego, aut, quis, ego, ago, curatio, sum",10,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.1,-0.1,tu,0.1
