Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.persa,1.0,"qui, amo, egeo, ingredior, sum, princeps, in, amor, uia",9,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.0",0.167,0.0,,0.0
plautus.persa,2.0,"supero, aerumna, suus, aerumna, hercules",5,"NaN, -0.5, NaN, -0.5, NaN",-0.2,-0.2,,0.0
plautus.persa,3.0,"nam, cum, leo, cum, excetra, cum, ceruus, cum, aper, aetolico",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,leo,0.1
plautus.persa,4.0,"cum, auis, stymphalicis, cum, antaeo, deluctaris, malo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.persa,5.0,"quam, cum, amor, ita, fio, miser, quaero, argentum, mutuus",9,"NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, 0.0",0.0,-0.111,miser,0.111
plautus.persa,6.0,"neque, quisquam, nisi, non, sum, scio, ego, respondeo, qui, rogo",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.persa,7.0,"qui, sum, suus, seruio, uolo, bene, seruus, seruitus",8,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5",-0.125,-0.125,seruitus,0.125
plautus.persa,8.0,"ne, ille, edepol, multus, in, pectus, suus, conlocaris, oportet",9,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,edepol,0.111
plautus.persa,9.0,"qui, sum, placeo, censeo, praesens, atque, absum, suus",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.persa,10.0,"ego, neque, libet, seruio, neque, satis, sum, sum, ex, sententia",10,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0",0.05,0.0,,0.0
plautus.persa,11.0,"sed, quasi, lippus, oculus, ego, erus, meus, manus, apstinere, hau, queo, tamen",12,"NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,erus,0.083
plautus.persa,12.0,"quin, ego, impero, quin, ego, suus, negotium, praefulcio",8,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN",-0.062,-0.062,,0.0
plautus.persa,13.0,"quis, illic, sum, qui, contra, ego, asto, quis, hic, sum, qui, sic, contra, ego, asto",15,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.067
plautus.persa,14.0,"similis, sum, sagaristio, toxilus, hic, quidem, meus, amicus, sum",9,"0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN",0.111,0.0,hic,0.111
plautus.persa,15.0,"is, sum, profecto, is, sum, opinor, congredior, contra, adgredibor",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.persa,16.0,"o, sagaristio, deus, amo, tu, o, toxilis, do, deus, qui, exopto",11,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,tu,0.091
