Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.poenulus,1.0,"achillem, aristarchi, ego, commentaris, lubet",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.poenulus,2.0,"inde, ego, principium, capio, ex, is, tragoedia",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.poenulus,3.0,"sileo, et, taceo, atque, animus, ad-uerto",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
plautus.poenulus,4.0,"audio, iubeo, tu, imperator, histricus",5,"NaN, NaN, NaN, 0.5, 0.0",0.1,0.0,tu,0.2
plautus.poenulus,5.0,"bonus, ut, animus, sedeate, in, subsellium",6,"1.0, NaN, 0.5, NaN, NaN, NaN",0.25,0.0,,0.0
plautus.poenulus,6.0,"et, qui, ex-surio, et, qui, satur, uenio",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
plautus.poenulus,7.0,"qui, edo, multus, facio, sapio",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,8.0,"qui, non, edo, satur, fio, fabula",6,"NaN, NaN, NaN, 0.5, NaN, 0.0",0.083,0.0,,0.0
plautus.poenulus,9.0,"nam, qui, paro, sum, qui, edo, noster, gratia",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.125,0.0,,0.0
plautus.poenulus,10.0,"nimius, sum, stultitia, sedeo, impransus, incedo",6,"NaN, NaN, -1.0, NaN, NaN, NaN",-0.167,-0.167,"nimius, stultitia",0.333
plautus.poenulus,11.0,"exsurgo, praeco, facio, populus, audientia",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.poenulus,12.0,"iam, dudum, exspecto, si, tuus, officium, scio",7,"NaN, NaN, NaN, NaN, 0.0, 0.5, NaN",0.071,0.0,,0.0
plautus.poenulus,13.0,"exerceo, uoco, quam, per, uiuo, et, colo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.poenulus,14.0,"nam, nisi, clamo, taceo, tu, obrepo, fames",7,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5",-0.071,-0.071,tu,0.143
plautus.poenulus,15.0,"ago, nunc, resideo, duplico, ut, merces, ferus",7,"NaN, NaN, NaN, NaN, NaN, 1.0, -1.0",0.0,-0.143,ferus,0.143
plautus.poenulus,16.0,"bonus, facio, sum, edico, ut, seruo, meus",7,"1.0, NaN, NaN, NaN, NaN, NaN, 0.0",0.143,0.0,,0.0
plautus.poenulus,17.0,"scortum, exoletus, ne, quis, in, proscaenium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,scortum,0.167
plautus.poenulus,18.0,"sedeo, neu, lictor, uerbum, aut, uirga, mutio",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,19.0,"neu, designator, praeter, os, obambulo",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.poenulus,20.0,"neu, sedeo, duco, dum, histrio, in, scaena, sum",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,21.0,"diu, qui, domus, otiosus, dormio, decet",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,22.0,"animus, aequus, nunc, sto, uel, dormio, tempero",7,"0.5, 0.5, NaN, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
plautus.poenulus,23.0,"seruio, ne, obsideant, liber, ut, sum, locus",7,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,,0.0
plautus.poenulus,24.0,"uel, aes, pro, caput, do, si, is, facio, non, queo",10,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,25.0,"domus, abeo, uito, anceps, infortunium",5,"0.0, NaN, NaN, -0.5, -1.0",-0.3,-0.3,,0.0
plautus.poenulus,26.0,"ne, et, hic, uario, uirga, et, lorus, domus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.125
plautus.poenulus,27.0,"si, paruus, curassint, cum, erus, reueneo, domus",7,"NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,erus,0.143
plautus.poenulus,28.0,"nutrix, puer, infer, minutulus",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,29.0,"domus, ut, procuro, neu, qui, spectas, affero",7,"0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,30.0,"ne, et, ipse, sitio, et, puer, pereo, fames",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5",-0.062,-0.062,,0.0
plautus.poenulus,31.0,"neue, ex-surio, hic, quasi, haedus, obuagio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.poenulus,32.0,"matrona, taceo, specto, taceo, rideo",5,"-0.5, NaN, NaN, NaN, NaN",-0.1,-0.1,matrona,0.2
plautus.poenulus,33.0,"canorus, hic, uox, suus, tinnio, tempero",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,hic,0.167
plautus.poenulus,34.0,"domus, sermo, fabulor, confero",4,"0.0, -0.5, NaN, NaN",-0.125,-0.125,,0.0
plautus.poenulus,35.0,"ne, et, hic, uis, sum, et, domus, molestia",8,"NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, -1.0",0.0,-0.125,hic,0.125
plautus.poenulus,36.0,"quisque, ad, ludus, curator, attineo",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.poenulus,37.0,"ne, palmo, do, quisquam, artifex, iniuria",6,"NaN, NaN, NaN, NaN, 0.0, -1.0",-0.167,-0.167,,0.0
plautus.poenulus,38.0,"neue, ambitio, causa, extrudo, foras",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,ambitio,0.2
plautus.poenulus,39.0,"quo, deterior, antepono, bonus",4,"NaN, -1.0, NaN, 1.0",0.0,-0.25,,0.0
plautus.poenulus,40.0,"et, hic, quoque, etiam, qui, paene, obliuiscor, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.poenulus,41.0,"dum, ludo, fio, in, popina, pedisequus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.poenulus,42.0,"inruptio, facio, nunc, dum, occasio, sum",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
plautus.poenulus,43.0,"nunc, dum, scriblita, aestuo, occurro",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,aestuo,0.2
plautus.poenulus,44.0,"hic, qui, impero, sum, pro, imperium, histricus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,hic,0.143
plautus.poenulus,45.0,"bonus, hercules, facio, pro, sui, quisque, ut, memini",8,"1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.125,0.0,,0.0
plautus.poenulus,46.0,"ad, argumentum, nunc, uicissatim, uolo",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,47.0,"remigraris, ut, aequus, cum, ego, sum, gnaruris",7,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.poenulus,48.0,"is, nunc, regio, limito, confine",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,49.0,"determino, is, res, ego, finitor, facio, sum",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,50.0,"sed, nisi, molestus, sum, nomen, do, tu, uolo",8,"NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN",-0.125,-0.125,tu,0.125
plautus.poenulus,51.0,"comoedia, sin, odium, sum, dico, tamen",6,"0.0, NaN, -1.0, NaN, NaN, NaN",-0.167,-0.167,,0.0
plautus.poenulus,52.0,"siquidem, liceo, per, ille, qui, sum, in, manus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.poenulus,53.0,"carchedonius, uoco, hic, comoedia",4,"NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.25
plautus.poenulus,54.0,"latina, plautus, patruus, pultiphagonides",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.poenulus,55.0,"nomen, iam, habeo, nunc, ratio, ceterus",6,"0.0, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.poenulus,56.0,"accipio, nam, argumentum, hic, hic, censeo",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, hic",0.333
plautus.poenulus,57.0,"locus, argumentum, sum, suus, sui, proscaenium",6,"0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,58.0,"tu, iurator, sum, quaeso, opera, do",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,tu,0.167
plautus.poenulus,59.0,"carthaginienses, frater, patruelis, duo",4,"NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,60.0,"sum, superus, genus, et, summus, ditiae",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.poenulus,61.0,"is, alter, uiuo, alter, sum, emorior",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
