Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.pseudolus,1.0,"exporgi, bonus, sum, lumbus, atque, exsurgo",6,"NaN, 1.0, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.pseudolus,2.0,"plautina, longus, fabula, in, scaena, uenio",6,"NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.pseudolus,3.0,"si, ex, tu, taceo, fio, possum, certus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,tu,0.143
plautus.pseudolus,4.0,"eremus, qui, miseria, tu, tam, mitto, macero",7,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.143,-0.143,tu,0.143
plautus.pseudolus,5.0,"duo, labor, ego, homo, parsissem, libet",6,"NaN, -0.5, NaN, 0.0, NaN, NaN",-0.083,-0.083,,0.0
plautus.pseudolus,6.0,"meus, tu, rogo, et, tis, respondeo, ego",7,"0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.143
plautus.pseudolus,7.0,"nunc, quoniam, is, fio, non, possum, necessitas",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.pseudolus,8.0,"ego, subigo, ut, tu, rogito, respondeo, ego",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.143
plautus.pseudolus,9.0,"quis, sum, qui, tu, exanimo, iam, hic, multus, dies",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,"tu, exanimo, hic",0.333
plautus.pseudolus,10.0,"gero, tabella, cum, tu, is, lacrima, lauo",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.143
plautus.pseudolus,11.0,"neque, tuus, participo, consilium, quisquam, facio",6,"NaN, 0.0, NaN, 0.5, NaN, NaN",0.083,0.0,,0.0
plautus.pseudolus,12.0,"eloquor, ut, qui, ego, nescio, is, cum, tu, scio",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.111
plautus.pseudolus,13.0,"mitto, miser, sum, pseudole, is, tu, iuppiter",7,"NaN, -1.0, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,"miser, tu",0.286
plautus.pseudolus,14.0,"prohibeo, nihil, hic, io, ad, iudicium, attineo",7,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.071,0.0,hic,0.143
plautus.pseudolus,15.0,"sub, uenio, regnum, uapulo, non, sub, io",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.pseudolus,16.0,"licet, ego, is, scio, quis, sum, nam, tu, ego, antehac",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.1
plautus.pseudolus,17.0,"superus, habeo, comes, consilium, tuus",5,"NaN, NaN, NaN, 0.5, 0.0",0.1,0.0,,0.0
plautus.pseudolus,18.0,"idem, animus, nunc, sum, fax, ego, certus, quis, tu, sum",10,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.1,0.0,"fax, tu",0.2
plautus.pseudolus,19.0,"iuuo, aut, res, aut, opus, aut, consilium, bonus",8,"NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, 1.0",0.25,0.0,,0.0
plautus.pseudolus,20.0,"capio, hic, tabella, tueor, hinc, narro, tu",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,"hic, tu",0.286
plautus.pseudolus,21.0,"qui, ego, miseria, et, cura, contabefacio",6,"NaN, NaN, -1.0, NaN, -1.0, NaN",-0.333,-0.333,,0.0
plautus.pseudolus,22.0,"mos, tu, gero, sed, quis, hic, quaeso, quis, sum",9,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.056,0.0,"tu, hic",0.222
plautus.pseudolus,23.0,"ut, opinor, quaero, littera, hic, sui, liber",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.5",0.071,0.0,hic,0.143
plautus.pseudolus,24.0,"alius, alius, scando, ludus, iam, ludo, tuus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.pseudolus,25.0,"hic, quidem, pol, credo, nisi, sibulla, lego",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
plautus.pseudolus,26.0,"interpretaris, alius, possum, nemo",4,"NaN, NaN, NaN, -0.5",-0.125,-0.125,,0.0
plautus.pseudolus,27.0,"cur, inclemens, dico, lepidus, littera",5,"NaN, -1.0, NaN, NaN, 0.0",-0.2,-0.2,,0.0
plautus.pseudolus,28.0,"lepidus, tabella, lepidus, conscribo, manus",5,"NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.pseudolus,29.0,"an, obsecro, hercules, habeo, qui, gallina, manus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.pseudolus,30.0,"nam, hic, quidem, gallina, scribo, odiosus, ego, sum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.pseudolus,31.0,"lex, uel, tabella, reddo, immo, enim, pellegam",7,"0.5, NaN, 0.0, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.pseudolus,32.0,"ad-uerto, animus, non, adsum, at, tu, cieo",7,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,0.0,tu,0.143
plautus.pseudolus,33.0,"immo, ego, taceo, tu, istinc, ex, cero, cieo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,tu,0.125
plautus.pseudolus,34.0,"nam, istic, meus, animus, nunc, sum, non, in, pectus",9,"NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN",0.056,0.0,,0.0
plautus.pseudolus,35.0,"tuus, amica, uideo, calidore, ubi, is, sum, obsecro",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.pseudolus,36.0,"ecce, in, tabella, porrigo, in, cero, cubo",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.pseudolus,37.0,"at, tu, deus, deferuesco, quantus, sum, seruassint, quidem",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.125
plautus.pseudolus,38.0,"quasi, solstitial, herba, paulisper, sum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.pseudolus,39.0,"repens, exorior, sum, repentinus, occido",5,"0.0, NaN, NaN, -0.5, NaN",-0.1,-0.1,occido,0.2
plautus.pseudolus,40.0,"taceo, dum, tabella, pellego, ergo, quin, lex",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
plautus.pseudolus,41.0,"phoenicium, calidoro, amator, suus",4,"NaN, NaN, NaN, NaN",nan,nan,amator,0.25
plautus.pseudolus,42.0,"per, cera, et, lignum, littera, interpres",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.pseudolus,43.0,"salus, mitto, et, salus, abs, tu, expeto",7,"1.0, NaN, NaN, 1.0, NaN, NaN, NaN",0.286,0.0,tu,0.143
plautus.pseudolus,44.0,"lacrumans, titubo, animus, cor, et, pectus",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
plautus.pseudolus,45.0,"pereo, salus, nusquam, inuenio, pseudole",5,"NaN, 1.0, NaN, NaN, NaN",0.2,0.0,,0.0
plautus.pseudolus,46.0,"quam, ille, remitto, quam, salus, argenteus",6,"NaN, NaN, NaN, NaN, 1.0, NaN",0.167,0.0,,0.0
plautus.pseudolus,47.0,"pro, ligneus, -ne, salus, uolo, argenteus",6,"NaN, NaN, NaN, 1.0, NaN, NaN",0.167,0.0,ligneus,0.167
plautus.pseudolus,48.0,"remitto, ille, uideo, sum, quam, tu, res, gero",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,tu,0.125
plautus.pseudolus,49.0,"recito, modo, ex, tabella, iam, facio, scio",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.pseudolus,50.0,"quam, subeo, argentum, ego, utor, inuenio, sum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.pseudolus,51.0,"leno, ego, peregre, miles, macedonio",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,leno,0.2
plautus.pseudolus,52.0,"minae, uiginti, uendo, uoluptas, meus",5,"-0.5, NaN, NaN, 1.0, 0.0",0.1,-0.1,uendo,0.2
plautus.pseudolus,53.0,"et, prior, quam, hinc, abeo, quindecim, miles, minae",8,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, -0.5",0.0,-0.062,,0.0
plautus.pseudolus,54.0,"do, nunc, unus, quinque, remoror, minae",6,"NaN, NaN, NaN, NaN, NaN, -0.5",-0.083,-0.083,,0.0
plautus.pseudolus,55.0,"is, causa, miles, hic, relinquo, symbolus",6,"NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,hic,0.167
plautus.pseudolus,56.0,"exprimo, in, cero, ex, anulus, suus, imago",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.pseudolus,57.0,"ut, qui, huc, affero, is, similis, symbolus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
