Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.rudens,1.0,"qui, gens, omnis, mare, et, terra, moueo",7,"NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.rudens,2.0,"is, sum, ciuis, ciuitas, caelitum",5,"NaN, NaN, 0.5, 0.5, NaN",0.2,0.0,,0.0
plautus.rudens,3.0,"ita, sum, ut, uideo, splendeo, stella, candidus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.rudens,4.0,"signum, qui, semper, tempus, exorior, suus",6,"0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.rudens,5.0,"hic, atque, in, caelum, nomen, arceo, sum, ego",8,"NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN",0.062,0.0,hic,0.125
plautus.rudens,6.0,"nox, sum, in, caelum, clarus, atque, inter, deus",8,"0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0",0.125,0.0,,0.0
plautus.rudens,7.0,"inter, mortalis, ambulo, interdius",4,"NaN, -1.0, NaN, NaN",-0.25,-0.25,,0.0
plautus.rudens,8.0,"at, alius, signum, de, caelum, ad, terra, accido",8,"NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN",0.062,0.0,,0.0
plautus.rudens,9.0,"qui, sum, imperator, diuus, atque, homo, iuppiter",7,"NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN",0.071,0.0,,0.0
plautus.rudens,10.0,"is, nos, per, gens, alius, alius, disparo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.rudens,11.0,"qui, facio, homo, mos, pietas, et, fides",7,"NaN, NaN, 0.0, 0.5, 1.0, NaN, 1.0",0.357,0.0,,0.0
plautus.rudens,12.0,"nosco, ut, quisque, adiuuo, opulentia",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.rudens,13.0,"qui, fallo, lis, falsum, testimonium",5,"NaN, NaN, -0.5, NaN, NaN",-0.1,-0.1,fallo,0.2
plautus.rudens,14.0,"peto, quisque, in, ius, abiuro, pecunia",6,"NaN, NaN, NaN, 0.5, NaN, 0.0",0.083,0.0,pecunia,0.167
plautus.rudens,15.0,"is, referio, nomen, exscribo, ad, iouem",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.rudens,16.0,"cottidie, ille, scio, quis, hic, quaero, malus",7,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,hic,0.143
plautus.rudens,17.0,"qui, hic, lito, apisci, postulo, peiurio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
plautus.rudens,18.0,"malus, res, fallo, qui, impetro, apud, iudico",7,"-1.0, 0.0, NaN, NaN, NaN, NaN, NaN",-0.143,-0.143,fallo,0.143
plautus.rudens,19.0,"iterum, ille, is, res, iudico, iudico",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.rudens,20.0,"magnus, multus, multo, quam, lito, aufero",6,"0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.rudens,21.0,"bonus, in, alius, tabula, exscribo, habeo",6,"1.0, NaN, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.rudens,22.0,"atque, hic, scelestus, in, animus, induco, suus",7,"NaN, NaN, -1.0, NaN, 0.5, NaN, NaN",-0.071,-0.143,"hic, scelestus",0.286
plautus.rudens,23.0,"iouem, sui, placo, possum, donum, hostia",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,hostia,0.167
plautus.rudens,24.0,"et, opera, et, sumo, perdo, is, is, fio, quia",9,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.056,-0.056,,0.0
plautus.rudens,25.0,"nihil, is, accipio, sum, ab, periurus, supplicium",7,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.143,-0.143,"periurus, supplicium",0.286
plautus.rudens,26.0,"facilis, si, qui, pius, sum, ab, deus, supplico",8,"0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.062,0.0,,0.0
plautus.rudens,27.0,"quam, qui, scelestus, sum, inuenio, uenio, sui",7,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.143,-0.143,scelestus,0.143
plautus.rudens,28.0,"idcirco, moneo, tu, ego, hic, qui, sum, bonus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.125,0.0,"tu, hic",0.25
plautus.rudens,29.0,"quisque, aetas, ago, cum, pietas, et, cum, fides",8,"NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 1.0",0.25,0.0,,0.0
plautus.rudens,30.0,"retineo, porro, post, facio, ut, laeto",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.rudens,31.0,"nunc, huc, qui, causa, uenio, argumentum, eloquor",7,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.rudens,32.0,"primumdum, hic, sum, nomen, urbs, diphilus",6,"NaN, NaN, NaN, 0.0, 0.5, NaN",0.083,0.0,hic,0.167
plautus.rudens,33.0,"cyrenae, uolo, illic, habito, daemon",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,daemon,0.2
plautus.rudens,34.0,"in, ager, atque, uilla, propior, propter, mare",7,"NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
