Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.stichus,1.0,"credo, ego, miser, sum, penelopam",5,"NaN, NaN, -1.0, NaN, NaN",-0.2,-0.2,miser,0.2
plautus.stichus,2.0,"soror, suus, ex, animus, qui, tam, diu, uiduo",8,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
plautus.stichus,3.0,"uir, suus, careo, nam, nos, is, animus",7,"0.5, NaN, NaN, NaN, NaN, NaN, 0.5",0.143,0.0,,0.0
plautus.stichus,4.0,"de, noster, facio, nosco, qui, uir, hinc, apsunt",8,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.062,0.0,,0.0
plautus.stichus,5.0,"quisque, nos, negotium, apsentum, ita, ut, aequus, sum",8,"NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN",0.0,-0.062,,0.0
plautus.stichus,6.0,"sollicitus, nox, et, dies, soror, sum, semper",7,"-1.0, 0.0, NaN, 0.0, NaN, NaN, NaN",-0.143,-0.143,,0.0
plautus.stichus,7.0,"nos, officium, nos, facio, aequus, sum",6,"NaN, 0.5, NaN, NaN, 0.5, NaN",0.167,0.0,,0.0
plautus.stichus,8.0,"neque, is, magis, facio, quam, nos, moneo, pietas",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.125,0.0,,0.0
plautus.stichus,9.0,"sed, hic, soror, assideo, dum, multus, uolo, cum, tu",9,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, tu",0.222
plautus.stichus,10.0,"loquor, de, res, uir, saluus, -ne, amo",7,"NaN, NaN, 0.0, 0.5, 1.0, NaN, NaN",0.214,0.0,,0.0
plautus.stichus,11.0,"spero, quidem, et, uolo, sed, hic, soror, crucio",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.stichus,12.0,"pater, tuus, meus, adeo, unicus, qui, unus",7,"0.0, 0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.stichus,13.0,"ciuis, ex, omnis, probus, perhibeo",5,"0.5, NaN, NaN, 1.0, NaN",0.3,0.0,probus,0.2
plautus.stichus,14.0,"is, nunc, improbus, uir, officium, uti",6,"NaN, NaN, -1.0, 0.5, 0.5, NaN",0.0,-0.167,improbus,0.167
