Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.trinummus,1.0,"sequor, hic, ego, gnata, ut, munus, fungaris, tuus",8,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0",0.062,0.0,hic,0.125
plautus.trinummus,2.0,"sequor, sed, finis, sum, qui, dico, nescio",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.trinummus,3.0,"adsum, em, ille, sum, aedes, eo, intro, nuncia",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.trinummus,4.0,"nunc, ne, quis, erro, uester, paucus, in, uia",8,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.trinummus,5.0,"deduco, si, quidem, opera, do, promitto",6,"NaN, NaN, NaN, -0.5, NaN, NaN",-0.083,-0.083,,0.0
plautus.trinummus,6.0,"nunc, igitur, primus, qui, ego, sum, et, qui, illic, sum",10,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.05,0.0,,0.0
plautus.trinummus,7.0,"huc, qui, abeo, intro, dico, si, animus, ad-uerto",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.062,0.0,,0.0
plautus.trinummus,8.0,"primus, ego, plautus, nomen, luxuria, indo",6,"0.5, NaN, NaN, 0.0, -0.5, NaN",0.0,-0.083,luxuria,0.167
plautus.trinummus,9.0,"tum, hic, ego, gnatam, sum, uolo, inopia",7,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,hic,0.143
plautus.trinummus,10.0,"sed, is, huc, quis, introeo, impulsus, meus",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.trinummus,11.0,"accipio, et, do, uaciuus, auris, dum, eloquor",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.trinummus,12.0,"adulescens, quidam, sum, qui, in, hic, habito, aedes",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"adulescens, hic",0.25
plautus.trinummus,13.0,"is, res, paternus, ego, adiutrix, perdo",6,"NaN, 0.0, NaN, NaN, -0.5, NaN",-0.083,-0.083,,0.0
plautus.trinummus,14.0,"quoniam, is, qui, ego, alo, nihil, uideo, sum, reliceor",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
