Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
plautus.truculentus,1.0,"perparuus, pars, postulo, plautus, locus",5,"NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,2.0,"de, uester, magnus, atque, amoenus, moenia",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,3.0,"athenae, quo, sine, architectus, confero",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.truculentus,4.0,"quis, nunc, do, -ne, sum, an, non., annuo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,5.0,"scio, res, quidem, urbs, ego, aufero, sine, mora",8,"NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
plautus.truculentus,6.0,"quis, si, de, uester, quispiam, oro, abnuo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,7.0,"eu, hercules, in, tu, resideo, mos, pristinus",7,"NaN, NaN, NaN, NaN, NaN, 0.5, 0.0",0.071,0.0,tu,0.143
plautus.truculentus,8.0,"ad, denego, ut, celer, lingua, uto",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,,0.0
plautus.truculentus,9.0,"sed, hic, ago, qui, huc, uenio, sum, gratia",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.125,0.0,hic,0.125
plautus.truculentus,10.0,"athenae, muto, ita, ut, hic, sum, proscaenium",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
plautus.truculentus,11.0,"tantisper, dum, transigo, hic, comoedia",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.2
plautus.truculentus,12.0,"hic, habito, mulier, nomen, qui, sum, phronesis",7,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, mulier, phronesis",0.429
plautus.truculentus,13.0,"hic, hic, saeculum, mos, in, sui, possideo",7,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.071,0.0,"hic, hic",0.286
plautus.truculentus,14.0,"numquam, ab, amator, suus, postulo, is, qui, do, sum",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,amator,0.111
plautus.truculentus,15.0,"sed, relicuom, do, opera, ne, sum, relicuom",7,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN",-0.071,-0.071,,0.0
plautus.truculentus,16.0,"posco, atque, aufero, ut, mos, sum, mulier",7,"NaN, NaN, NaN, NaN, 0.5, NaN, 0.0",0.071,0.0,mulier,0.143
plautus.truculentus,17.0,"nam, omnis, is, facio, cum, sui, amo, intellego",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,18.0,"is, sui, pario, puer, simulo, miles",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,19.0,"quo, cieo, res, ab, is, auerro, cum, puluisculum",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,20.0,"quis, multus, stuic, supero, mulier",5,"NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,mulier,0.2
plautus.truculentus,21.0,"hiscum, anima, ad, is, habeo, erce, tero",7,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.truculentus,22.0,"non, omnis, aetas, ad, perdisco, satis, sum",7,"NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
plautus.truculentus,23.0,"amo, dum, is, perdisco, quot, pereo, modus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
plautus.truculentus,24.0,"neque, is, ratio, eapse, umquam, educo, uenus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
plautus.truculentus,25.0,"quam, penis, amantum, summus, summaris, redeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,26.0,"quot, amo, exemplum, ludifico, quot, modus",6,"NaN, NaN, 0.0, NaN, NaN, 0.5",0.083,0.0,,0.0
plautus.truculentus,27.0,"pereo, quot, exoro, exorabulis",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,28.0,"quot, illic, blanditia, quot, illic, iracundia",6,"NaN, NaN, 0.5, NaN, NaN, -1.0",-0.083,-0.167,blanditia,0.167
plautus.truculentus,29.0,"sum, quot, supplicium, do, deus, uester, fides, hui",8,"NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN",0.125,0.0,supplicium,0.125
plautus.truculentus,30.0,"quis, perierandum, sum, etiam, praeter, munus",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
plautus.truculentus,31.0,"primumdum, merces, annuus, is, primus, bolus, sum",7,"NaN, 1.0, 0.0, NaN, 0.5, NaN, NaN",0.214,0.0,,0.0
plautus.truculentus,32.0,"ob, is, tres, nox, do, interea, locus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,33.0,"aut, ara, aut, uinum, aut, oleum, aut, triticum",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,34.0,"tento, benignus, an, bonus, frugi, sum",6,"NaN, 1.0, NaN, 1.0, 1.0, NaN",0.5,0.0,frugi,0.167
plautus.truculentus,35.0,"quasi, in, piscina, reor, qui, iaculis, paro",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,36.0,"quando, abeo, reor, pessum, adduco, linea",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,37.0,"si, ineo, reor, piscis, ne, effugio, caueo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,38.0,"dum, huc, dum, illic, reor, circumuortit, impedio",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,39.0,"piscis, usque, adeo, donicum, educo, foras",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,40.0,"itidem, si, amator, is, qui, oro, do",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,amator,0.143
plautus.truculentus,41.0,"atque, sum, benignus, potis, quam, frugi, bonus",7,"NaN, NaN, 1.0, 0.0, NaN, 1.0, 1.0",0.429,0.0,frugi,0.143
plautus.truculentus,42.0,"addo, nox, interim, ille, hamus, uoro",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,43.0,"si, semel, amor, poculum, accipio, merus",6,"NaN, NaN, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.truculentus,44.0,"is, intra, pectus, sui, penetro, potio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,45.0,"extemplo, et, ipse, pereo, et, res, et, fides",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0",0.125,0.0,,0.0
plautus.truculentus,46.0,"si, irascor, scortum, sum, fors, amator, suus",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,"scortum, amator",0.286
plautus.truculentus,47.0,"bis, pereo, amator, ab, res, atque, ab, animus, simul",9,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.056,0.0,amator,0.111
plautus.truculentus,48.0,"sin, alter, altri, propitius, sum, idem, pereo",7,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN",0.143,0.0,,0.0
plautus.truculentus,49.0,"si, rarus, nox, duco, ab, animus, pereo",7,"NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.071,0.0,,0.0
plautus.truculentus,50.0,"sin, creber, duco, ipse, gaudeo, res, pereo, iteca, in, aedes, lenosis",11,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.truculentus,51.0,"prior, quam, unus, do, centum, qui, posco, paro",8,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
plautus.truculentus,52.0,"aut, pereo, aurum, aut, conscissa, pallula, sum",7,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
plautus.truculentus,53.0,"aut, emo, ancilla, aut, aliqui, uasum, argenteus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,"emo, ancilla",0.286
plautus.truculentus,54.0,"aut, uasum, aenus, antiquus, aut, lego, laptilis",7,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,55.0,"aut, armariolum, graecus, aut, aliquis, semper, sum",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,56.0,"qui, petra, debeo, amo, scortum, suus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,scortum,0.167
plautus.truculentus,57.0,"atque, hic, celo, nos, clam, magnus, industria",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.5",0.071,0.0,hic,0.143
plautus.truculentus,58.0,"cum, res, fides, nos, nos, perdo",6,"NaN, 0.0, 1.0, NaN, NaN, NaN",0.167,0.0,,0.0
plautus.truculentus,59.0,"ne, qui, parens, neu, cognatus, sentio",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
plautus.truculentus,60.0,"qui, cum, celo, si, faximus, conscius",6,"NaN, NaN, NaN, NaN, NaN, -0.5",-0.083,-0.083,conscius,0.167
plautus.truculentus,61.0,"qui, noster, aetas, tempestiuus, tempero",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,62.0,"unde, ante-pario, do, postpartor, facio, leno, et, scortum, multus, sum",10,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,"leno, scortum",0.2
plautus.truculentus,63.0,"et, paruus, damnosor, homo, quam, nunc, sum, sum",8,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,64.0,"nam, nunc, leno, et, scortum, multus, sum, fere",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,"leno, scortum",0.25
plautus.truculentus,65.0,"quam, olim, muscaris, sum, cum, caleo, magnus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,66.0,"nam, nusquam, alibi, si, sum, circum, argentaria",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,67.0,"scortum, et, leno, qui, sedeo, cottidie",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"scortum, leno",0.333
plautus.truculentus,68.0,"is, nimius, sum, ratio, quippe, qui, certus, scio",8,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.062,0.0,nimius,0.125
plautus.truculentus,69.0,"ibi, multus, scortum, sum, iam, quam, pondus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,scortum,0.143
plautus.truculentus,70.0,"qui, quidem, quam, ad, res, dico, in, argentarius",8,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,71.0,"refero, habeo, nisi, pro, tabula, nescio",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,72.0,"ubi, aes, perscribo, usurarius",4,"NaN, NaN, NaN, -0.5",-0.125,-0.125,,0.0
plautus.truculentus,73.0,"accipio, dico, expendo, ne, qui, censeo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,74.0,"postremo, is, magnus, in, populus, mulier, homo",7,"NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0",0.0,0.0,mulier,0.143
plautus.truculentus,75.0,"res, placidus, atque, otiosus, uinco, hostis",6,"0.0, 1.0, NaN, NaN, NaN, -1.0",0.0,-0.167,,0.0
plautus.truculentus,76.0,"amo, oportet, omnis, qui, qui, do, habeo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,77.0,"nam, ego, hic, meretrix, qui, hic, habeo, phronesis",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, meretrix, hic, phronesis",0.5
plautus.truculentus,78.0,"suus, nomen, omnis, ex, pectus, emoueo, meus, phronesis, nam, phronesis, sum, sapientia",12,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0",0.083,0.0,"phronesis, phronesis",0.167
plautus.truculentus,79.0,"nam, ego, sum, hic, fateor, superus, atque, intumum",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
plautus.truculentus,80.0,"qui, amo, multus, malus, sum, pecunia",6,"NaN, NaN, 0.0, -1.0, NaN, 0.0",-0.167,-0.167,pecunia,0.167
plautus.truculentus,81.0,"idem, postquam, alius, reperio, qui, multus, do",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
plautus.truculentus,82.0,"damnosus, ego, exinde, in-moueo, locus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,83.0,"qui, antehac, odiosus, sui, sum, memoro, malus",7,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,,0.0
plautus.truculentus,84.0,"babyloniensem, miles, is, nunc, dico",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,85.0,"uenio, peregre, is, nunc, commento, sum, dolus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,dolus,0.143
plautus.truculentus,86.0,"pario, simulo, sui, ut, ego, extrudo, foras",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,87.0,"atque, ut, cum, solum, pergraecor, miles",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,88.0,"is, sum, simulo, miles, puer, pater, is, iste, suppono, puer, opinor, malus",12,"NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, -1.0",-0.083,-0.083,,0.0
plautus.truculentus,89.0,"ego, uerbum, reor, do, sui, an, ego, censeo",8,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,90.0,"celaris, sui, potesse, grauidus, si, sum",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
plautus.truculentus,91.0,"nam, ego, lemno, aduenio, athenae, nudus, tertius",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
plautus.truculentus,92.0,"legatus, hinc, quo, cum, publicus, imperium, sum",7,"0.0, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
plautus.truculentus,93.0,"sed, hic, quidem, is, astaphium, sum, ancillula",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, ancillula",0.286
plautus.truculentus,94.0,"cum, is, quoque, etiam, ego, sum, commercium",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
plautus.truculentus,95.0,"ad, foris, auscultas, atque, ad-seruo, aedes",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
plautus.truculentus,96.0,"ne, quis, aduento, grauis, abaetat, quam, aduenio",7,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN",-0.071,-0.071,,0.0
plautus.truculentus,97.0,"neu, qui, manus, affero, sterilis, intro, ad, nos",8,"NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN",-0.062,-0.062,,0.0
plautus.truculentus,98.0,"grauida, foras, exporto, nosco, ego, homo, mos",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.5",0.071,0.0,,0.0
plautus.truculentus,99.0,"ita, nunc, adulescens, moror, sum, quini",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,adulescens,0.167
plautus.truculentus,100.0,"aut, senex, aduenio, ad, scortum, congerro",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,scortum,0.167
plautus.truculentus,101.0,"consulo, sum, consilium, quando, intro, aduenio",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
