Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
priscian.carmen,1.0,"superus, poeta, qui, soleo, in, uersus, qui, imperator, modulor, laus, profero, caelum, cum, peto, et, sidus, aduerso, natura, sequor, impius, tu, scio, qui, displiceo, nimis, pius, nihil, nefandus, nihil, nisi, uerus, loquor, nam, qui, tribuo, mortalis, caelestis, sapiens, damno, arbitrium, par, et, si, qui, uerus, praedico, non, credo, cum, fallo, capio, caneo, exordium, quare, precor, libet, audio, tuus, qui, cunctus, non, ego, possum, produco, non, mille, do, si, ego, lingua, simul, fons, ingenium, sum, carmen, effundo, nouus, sed, pars, fero, qui, ualeo, pro, uis, decerpo, lux, confero, qui, cantus, qui, mos, miro, fio, soleo, nam, carmen, addo, decus, res, magis, quam, sumo, deus, faueo, iam, subeo, pondero, laus, serenus, qui, releuo, uultus, ego, praesens, ubique, cerno, qui, sensus, arcanus, nudo, princeps, mitis",122,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0",0.057,-0.029,"impius, tu, nefandus, damno, fallo",0.041
priscian.carmen,1.1,"accipio, romanus, clemens, pectus, carmen",5,"NaN, NaN, 1.0, NaN, 0.0",0.2,0.0,,0.0
priscian.carmen,1.2,"accipio, qui, soleo, caelestis, reddo, rex",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.carmen,1.3,"munus, pro, uita, pro, pulcher, lumen, sol",7,"0.5, NaN, 0.0, NaN, 1.0, NaN, NaN",0.214,0.0,,0.0
priscian.carmen,1.4,"namque, deus, sentio, placaris, carmen, tantus",6,"NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.carmen,1.5,"qui, sequor, princeps, animus, iustus, recingo",6,"NaN, NaN, 0.5, 0.5, 1.0, NaN",0.333,0.0,,0.0
priscian.carmen,1.6,"qui, tu, regnum, do, qui, debeo, omnis, solus",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5",-0.062,-0.062,tu,0.125
priscian.carmen,1.7,"prosper, qui, bellum, pariter, uel, pax, fero",7,"1.0, NaN, 0.0, NaN, NaN, 0.5, NaN",0.214,0.0,,0.0
priscian.carmen,1.8,"audax, nam, uenio, praeconium, dico, uester",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,audax,0.167
priscian.carmen,1.9,"qui, finio, caelum, qui, omnis, cingo, orbis",7,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
