Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
priscian.perihegesis,1.0,"natura, genitor, qui, mundus, contineo, omnis",6,"0.0, NaN, NaN, 1.0, NaN, NaN",0.167,0.0,,0.0
priscian.perihegesis,2.0,"annuo, rex, caelum, pono, tellus, et, unda",7,"NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0",0.071,0.0,,0.0
priscian.perihegesis,3.0,"in, qui, imperium, mortalis, ipse, do",6,"NaN, NaN, 0.0, -1.0, NaN, NaN",-0.167,-0.167,,0.0
priscian.perihegesis,4.0,"materies, tantus, ego, promo, carmen, digno",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,5.0,"incipio, terra, traho, pontus, meo",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,6.0,"et, fluuius, cano, atque, urbs, populus, per, orbis",8,"NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN",0.062,0.0,,0.0
priscian.perihegesis,7.0,"discerno, latus, refluus, memoro, paro",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,8.0,"oceanus, tellus, quo, cingo, aequor, totus",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,9.0,"insula, ceu, sui, diffundo, litus, uastus",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,uastus,0.167
priscian.perihegesis,10.0,"non, tamen, assiduus, tero, undique, margo, circum",7,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
priscian.perihegesis,11.0,"claudo, hic, bifido, sed, bracchium, litus, pando",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
priscian.perihegesis,12.0,"arto, rapidus, curro, ad, sol, utrimque",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,13.0,"assimilis, funda, sed, quamuis, corpus, totus",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,14.0,"una, sum, hic, homo, tres, dico, sum, dis-redimo",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.125
priscian.perihegesis,15.0,"et, primus, libye, -ne, post, europe, -ne, asia",8,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,europe,0.125
priscian.perihegesis,16.0,"sed, libyam, europae, discerno, finis, amplus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,17.0,"lineus, quam, obliquo, gades, atque, ostium, nilis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,18.0,"qui, boreas, excurro, memphitis, terra, sub, axis",7,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,19.0,"atque, locus, uoueo, spartano, fama, canopo",6,"NaN, 0.0, NaN, NaN, 1.0, NaN",0.167,0.0,,0.0
priscian.perihegesis,20.0,"sed, terra, aquilus, qui, frigor, damno, iniquus",7,"NaN, 0.0, 0.0, NaN, NaN, NaN, -1.0",-0.143,-0.143,"damno, iniquus",0.286
priscian.perihegesis,21.0,"europe, -ne, asia, tanais, disiungo, ab, ora",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,europe,0.143
priscian.perihegesis,22.0,"sauromatas, linquo, scythiam, qui, gurges, uastus",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,"gurges, uastus",0.333
priscian.perihegesis,23.0,"perstringo, praeceps, ruo, maeotida, posco",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,24.0,"at, medius, finis, iamiam, declinis, ad, auster, sum",8,"NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,25.0,"qui, hellesponti, fauces, dico, prior",5,"NaN, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
priscian.perihegesis,26.0,"sed, magis, austral, sum, terminus, ostium, nilis",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,27.0,"per, mare, sic, fluuius, duo, discerno, orbis",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,28.0,"at, alius, terra, malo, discerno, terra",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,29.0,"finis, sum, asia, latus, artus, lingua, supernus",7,"0.0, NaN, NaN, NaN, NaN, -0.5, NaN",-0.071,-0.071,,0.0
priscian.perihegesis,30.0,"caspia, quam, medius, facio, atque, aequor, pontus",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,31.0,"euxini, locus, hic, discrimen, dico, sum",6,"NaN, 0.0, NaN, -1.0, NaN, NaN",-0.167,-0.167,hic,0.167
priscian.perihegesis,32.0,"europes, asia, disiungens, ruribus, aruum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,33.0,"at, alius, finis, longus, exeo, in, auster",7,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,34.0,"qui, seco, aegypti, terra, aequo, sabaeum",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,35.0,"separo, hic, libye, -ne, asia, confine, rumpo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
priscian.perihegesis,36.0,"talis, mortalis, perhibeo, discrimino, terra",5,"NaN, -1.0, NaN, NaN, 0.0",-0.2,-0.2,,0.0
priscian.perihegesis,37.0,"circumeo, oceani, gurges, tamen, undique, uastus",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,"gurges, uastus",0.333
priscian.perihegesis,38.0,"qui, quamuis, unus, sum, multus, nomen, sumo",7,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,39.0,"finis, hesperiis, atlanticus, ille, uoco",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,hesperiis,0.2
priscian.perihegesis,40.0,"at, boreas, qui, gens, ferueo, arimaspa, sub, arma",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,41.0,"dico, ille, piger, neque, non, saturnius, idem",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,42.0,"mortuus, at, alius, paruus, qui, lumen, sol",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,43.0,"perfruor, tardus, radius, nam, suscipio, ortus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,44.0,"nubis, et, crassus, premo, nimbus, grauo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,45.0,"unde, tamen, primus, conscendo, lumen, titan",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
priscian.perihegesis,46.0,"eoumque, uoco, atque, indum, nomen, pontus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,47.0,"sed, qui, deuexus, calidus, polus, excipio, auster",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,deuexus,0.143
priscian.perihegesis,48.0,"aethiopumque, simul, pelagus, rubrus, uoco",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,49.0,"qui, desero, pateo, tellus, ardor, peruro",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,50.0,"circumeo, oceanus, sic, totus, magnus, orbis",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,51.0,"nomen, uarius, celebro, et, aequor, tantus",6,"0.0, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,52.0,"hinc, atque, inde, sinus, penetrabilis, efficio, ille",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,53.0,"exiguus, multus, dirimo, mare, quattuor, amplus",6,"0.0, 0.0, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,54.0,"perseco, hesperiam, primus, qui, porgitur, unda",6,"NaN, NaN, 0.5, NaN, NaN, 0.0",0.083,0.0,,0.0
priscian.perihegesis,55.0,"pamphylumque, latus, libyae, pertendo, ab, ora",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,56.0,"hic, paruus, sum, reliquus, magnus, qui, caspia, tellus",8,"NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN",0.0,0.0,hic,0.125
priscian.perihegesis,57.0,"suscipio, intro, uastus, aquilo, ab, unda",6,"NaN, NaN, -1.0, NaN, NaN, 0.0",-0.167,-0.167,uastus,0.167
priscian.perihegesis,58.0,"nomen, saturnus, qui, tethys, possideo, aequor",6,"0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,59.0,"caspius, iste, sinus, simul, hyrcanusque, uoco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,60.0,"at, duo, qui, uenio, austral, ab, aequor, pontus",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,61.0,"hic, supra, curro, mare, persido, efficio, altus",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.5",0.071,0.0,hic,0.143
priscian.perihegesis,62.0,"e, regio, sino, qui, caspia, uoluo, unda",7,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,63.0,"fluctuo, at, alter, panchaeaque, litus, pulso",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,64.0,"euxini, contra, pelagus, protentus, in, auster",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,65.0,"hic, sinus, perhibeo, qui, tethyos, efficio, unda",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.143
priscian.perihegesis,66.0,"magnus, nam, sum, alius, multus, paruus",6,"0.0, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,67.0,"nunc, mare, hesperii, lustro, carmen, traho",6,"NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,68.0,"flexus, in, uarius, qui, frango, aequor, pontus",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,69.0,"hic, stringo, pelagus, terra, circumfluus, ille",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.167
priscian.perihegesis,70.0,"mons, et, rado, suppostasque, urbs, ora",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
priscian.perihegesis,71.0,"adsum, o, numen, studium, praesul, et, ars",7,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,,0.0
priscian.perihegesis,72.0,"ordo, principium, capio, atlantis, ab, unda",6,"0.5, NaN, NaN, NaN, NaN, 0.0",0.083,0.0,,0.0
priscian.perihegesis,73.0,"herculeo, celebro, qui, meta, munus, gades",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
priscian.perihegesis,74.0,"caeliferasque, teneo, sto, atlas, mons, columna",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,75.0,"sum, primus, uastus, qui, pontus, hibericus, unda",7,"NaN, 0.5, -1.0, NaN, 0.0, NaN, 0.0",-0.071,-0.143,uastus,0.143
priscian.perihegesis,76.0,"diuido, europe, -ne, libya, communis, uterque",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,europe,0.167
priscian.perihegesis,77.0,"hinc, atque, hinc, statua, sum, ambo, litus, cerno",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,78.0,"hic, libyes, hic, europes, aduerso, tueor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, hic",0.333
priscian.perihegesis,79.0,"gallicus, hinc, gurges, qui, celtica, litus, pulso",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,gurges,0.143
priscian.perihegesis,80.0,"excipio, hic, sequor, ligurum, cognomen, dico",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
priscian.perihegesis,81.0,"qui, dominus, res, terra, cerno, latinae",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,82.0,"ad, leuce, -ne, petra, -ne, aquilo, ab, axis, reduco",9,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,83.0,"qui, fretus, sicaniae, concludo, litus, curuo",6,"NaN, 0.5, NaN, NaN, NaN, NaN",0.083,0.0,,0.0
priscian.perihegesis,84.0,"insula, sed, cyrnos, proprius, pulso, ab, unda",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,85.0,"inter, sardonium, pelagus, celtumque, refundo",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,refundo,0.2
priscian.perihegesis,86.0,"inde, sal, tumidus, tyrrheni, uoluo, aestus",6,"NaN, NaN, -0.5, NaN, NaN, NaN",-0.083,-0.083,,0.0
priscian.perihegesis,87.0,"ad, pars, uergo, austral, excipio, iste",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,88.0,"sicaniae, gurges, sol, deflecto, ad, ortus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,gurges,0.167
priscian.perihegesis,89.0,"qui, procul, effundo, pachyni, distendo, ora",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,90.0,"ad, cressam, summa, qui, promineo, aequor, rupes",7,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,91.0,"qui, gortyna, possum, medius, qui, phaestus, in, aruum",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,92.0,"aries, hic, rupes, simulo, uertex, frons",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,hic,0.167
priscian.perihegesis,93.0,"pro, mereo, graii, criu, dico, metopo, -ne",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,94.0,"hic, mare, gargani, concludo, iapygis, os",6,"NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,hic,0.167
priscian.perihegesis,95.0,"illinc, incipio, extendo, hadria, uastus",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,uastus,0.2
priscian.perihegesis,96.0,"ad, boreas, penetro, pelagus, solo, cado",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,97.0,"ionius, pariter, sinus, hic, perhibeo, ab, orbis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
priscian.perihegesis,98.0,"diuido, et, gemino, diuorto, pars, ora",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,99.0,"qui, tamen, exter, coniungo, terminus, unus",6,"NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,100.0,"ad, dexter, pars, protendo, illyris, almus",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,101.0,"post, hic, dalmatiae, populus, martia, tellus",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.167
priscian.perihegesis,102.0,"at, laeua, ausoniae, porrigo, contineo, isthmos",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,103.0,"qui, tres, circumdo, mare, undique, litus, curuo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,104.0,"tyrrhenum, siculus, neque, non, simul, hadria, uastus",7,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,uastus,0.143
priscian.perihegesis,105.0,"finis, at, proprius, excepto, singulus, uentus",6,"0.0, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,106.0,"tyrrhenum, zephyro, siculus, sed, tundo, auster",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,107.0,"hadria, succurrens, eous, frango, eurus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,108.0,"at, post, sicaniam, traho, diffundo, altus",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
priscian.perihegesis,109.0,"ad, syrtim, pelagus, libycis, qui, cingo, ora",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,110.0,"magnus, post, quam, paruus, excipio, aequor, longus",7,"0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,111.0,"atque, sinus, geminus, resono, litus, pulso",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,112.0,"finis, ab, siculis, cretaeum, tendo, aequor",6,"0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,113.0,"ad, sol, uenio, ortus, salmonis, posco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,114.0,"dico, eous, qui, cerno, terminus, sum",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,115.0,"post, hic, sum, geminus, mare, uastus, fluctus, ater",8,"NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN",-0.125,-0.125,"hic, uastus",0.25
priscian.perihegesis,116.0,"flatus, ismarici, boreas, qui, tundo, acer",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,117.0,"qui, ruo, aduersus, celsus, de, pars, arceo",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,118.0,"qui, prior, sum, pharium, perhibeo, hic, litus, tango",8,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.062,0.0,hic,0.125
priscian.perihegesis,119.0,"praecipio, casii, mons, post, unda, secundus",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,120.0,"sidonium, sum, pelagus, penetro, qui, gurges, pontus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,gurges,0.143
priscian.perihegesis,121.0,"issicus, arctous, ad, pars, aequor, uergo",6,"NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,122.0,"non, longus, rectus, cilicum, nam, frango, ora",7,"NaN, 0.0, 1.0, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
priscian.perihegesis,123.0,"hinc, zephyros, posco, ueluti, draco, flecto, unda",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,124.0,"qui, iugum, montiuagus, uasto, silua, fatigo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"montiuagus, uasto",0.333
priscian.perihegesis,125.0,"pars, exter, pamphylia, claudo, iste",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,126.0,"atque, chelidonias, rupes, cingo, idem",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,127.0,"at, procul, hic, zephyrus, finio, patareide, summus",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
priscian.perihegesis,128.0,"post, hic, arctous, ad, pars, aspicio, rursus",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.143
priscian.perihegesis,129.0,"aegaeum, supero, qui, fluctus, aequor, cunctus",6,"NaN, NaN, NaN, 0.0, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,130.0,"dis-permulceo, uastus, qui, gurges, cycladas, amb-eo",6,"NaN, -1.0, NaN, NaN, NaN, NaN",-0.167,-0.167,"uastus, gurges",0.333
priscian.perihegesis,131.0,"termino, hic, imbros, pariter, tenedosque, coerceo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"hic, coerceo",0.333
priscian.perihegesis,132.0,"angustus, traho, qui, fauces, propontidis, unda",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,133.0,"asia, quam, supra, populus, distendo, amplus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,134.0,"ad, nodia, pars, qui, latus, duco, isthmos",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,135.0,"threicius, sequor, post, bosphorus, ostium, pontus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,136.0,"hic, nullus, perhibeo, terra, angustus, orbis",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,hic,0.167
priscian.perihegesis,137.0,"sum, fretus, dirimo, hic, sum, symplegas, artus",7,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,0.0,hic,0.143
priscian.perihegesis,138.0,"pando, hinc, pontus, pelagus, titanis, ad, ortus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,139.0,"qui, peto, obliquus, boreas, solo, meo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,140.0,"hinc, atque, hinc, medium, procurro, aequor, collis",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,141.0,"unus, qui, uenio, asia, de, pars, carambis",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,142.0,"dico, austral, sed, contra, finis, alter",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,143.0,"promineo, europae, hic, criu, dico, metopo, -ne",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.143
priscian.perihegesis,144.0,"ergo, conuenio, aduerro, gurges, tantus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,gurges,0.2
priscian.perihegesis,145.0,"disto, quantus, terni, transeo, dies",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,146.0,"eualeat, nauis, bimaris, sic, aequor, pontus",6,"NaN, 0.0, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
priscian.perihegesis,147.0,"aspicio, similis, cornu, qui, flecto, arcus",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,148.0,"neruus, curuati, distendo, dextera, neruus",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,149.0,"assimilat, recingo, traho, nam, lineus, ductus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
priscian.perihegesis,150.0,"extra, quam, boreas, qui, scando, solus, carambis",7,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN",-0.071,-0.071,,0.0
priscian.perihegesis,151.0,"sed, forma, cornu, gemino, flexus, edo",6,"NaN, 1.0, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
priscian.perihegesis,152.0,"litus, qui, pontus, cingo, sub, pars, sinistra",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
priscian.perihegesis,153.0,"in, quam, maeotis, penetro, aquilo, ad, axis",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,154.0,"quam, scythiae, gens, circumdo, undique, ripa",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
priscian.perihegesis,155.0,"et, mater, pontus, perhibeo, maeotidis, unda",6,"NaN, 0.0, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
priscian.perihegesis,156.0,"scilicet, hinc, pontus, uolo, exeo, gurges, multus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,gurges,0.143
priscian.perihegesis,157.0,"cimmerium, torreo, per, bosphoro, -ne, hic, ubi, taurus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
