Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
prudentius.apotheosis,1.0,"sum, tres, summus, deus, terni, specimen, uigor, unus",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.apotheosis,2.0,"dogma, catholicam, maculo, malus, prodeo, lingua",6,"NaN, NaN, NaN, -1.0, NaN, -0.5",-0.25,-0.25,maculo,0.167
prudentius.apotheosis,1.1,"sum, uerus, seco, tu, magister, consulo, rectamne, seruo, fides, an, uiperinus, non, cauemus, dogma, et, nescio, labor, artus, salus, uix, uia, discerno, sum, inter, reflexas, semita, tam, multus, surgo, perfidorum, conpeta, torres, polio, error, obliquus, sui, consero, diuortium, hinc, inde, textum, orbita, qui, si, quis, erro, atque, uagus, sector, recingo, relinquo, trames, scrobis, lateo, pronus, in, foueo, ruo, quam, fodio, hostilis, manus, manus, latro, qui, uiantes, obsido, iter, sequor, deuius, quis, non, libido, mens, humanus, struo, quis, non, malus, prurio, status, lacesso, omnipotens, deus, calumniosus, lis, fides, minuo, disseco, ambages, ut, quisque, lingua, sum, nequior, soluo, ligantque, quaestio, uinculum, per, syllogismus, plectilis, uae, captiosus, sycophantaris, stropha, uae, uersipellis, astutia, nodus, tenax, recta, rumpo, regula, infestus, dissertantibus, idcirco, mundus, stultus, deligo, deus, ut, concaedes, sophistica, de, imbecillis, subiugo, fortis, simplex, ut, sum, credo, lapis, ecce, noster, figo, offensaculo, sum, in-pingo, in, qui, uanitas, signum, cauenti, non, cauenti, scandalum, hic, sterno, ille, dirigo, dum, multus, tento, caecus, incertum, gradus, incurro, is, qui, obuius, sum, fax, solus, fides, sum, pracferenda, gressus, ut, recta, sum, uestigium, quis, in, tenebrae, hostis, erro, tamen, pulso, traho, et, protero, qui, spargo, ad, ipse, conmeantum, transeo, frumentum, saeuus, deuoro, qui, laetus, christus, colo, fur, interpolo, addo, auena, aemulo, qui, de, uenenum, lac, in, herba, fertilis, patior, colonus, cresco, ne, fors, culmus, fibra, inanis, spiceum, simul, reuello, internecet, ex-pecto, ergo, dum, dolosus, et, farreus, ferueo, coquo, maturitas, do, uentilabrum, lego, quisque, ut, horreum, uro, recrementum, focus, refero, sed, ipse, nosco, qui, messis, neco, zizania, semen",246,"NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.014,-0.055,"tu, hostilis, latro, libido, stultus, hic, fax, protero, saeuus, fur",0.041
prudentius.apotheosis,1.2,"multus, sum, sed, paucus, loquor, ne, dirus, refero",8,"0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN",-0.125,-0.125,dirus,0.125
prudentius.apotheosis,3.0,"ille, pater, pello, solium, detrudo, in, artus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.apotheosis,4.0,"corpus, humanus, gestame, -ne, neque, paueo, ipse",7,"0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.apotheosis,5.0,"obiectaris, nex, duro, affigo, lignum",5,"NaN, -1.0, NaN, NaN, NaN",-0.2,-0.2,nex,0.2
prudentius.apotheosis,6.0,"passibilis, -ne, deus, qui, species, et, imago",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.apotheosis,7.0,"nullus, uideo, umquam, neque, enim, conprendier, ille",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.apotheosis,8.0,"maiestas, facilis, sensuue, oculisue, manuue",5,"NaN, 0.5, NaN, NaN, NaN",0.1,0.0,,0.0
