Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
prudentius.dittochaeon,1.0,"eua, columba, sum, tunc, candidus, niger, deinde",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.dittochaeon,2.0,"facio, per, anguinus, malesuadus, fraus, uenenum",6,"NaN, NaN, NaN, NaN, -1.0, -0.5",-0.25,-0.25,"anguinus, fraus",0.333
prudentius.dittochaeon,3.0,"tingo, et, innocuus, maculis, sordeo, adam",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,sordeo,0.167
prudentius.dittochaeon,4.0,"do, nudus, ficulnus, draco, mox, tegimen, uictor",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.dittochaeon,5.0,"frater, sacer, deus, nutus, disto, duo",6,"0.0, 1.0, 0.0, NaN, NaN, NaN",0.167,0.0,,0.0
prudentius.dittochaeon,6.0,"aestimo, accipio, uiuus, et, terrenus, refuto",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,uiuus,0.167
prudentius.dittochaeon,7.0,"rusticus, inuidia, pastor, sterno, in, abel",6,"-0.5, -1.0, NaN, NaN, NaN, NaN",-0.25,-0.25,inuidia,0.167
prudentius.dittochaeon,8.0,"forma, anima, exprimo, carus, noster, in, munus, cai, -ne",9,"1.0, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN",0.333,0.0,,0.0
prudentius.dittochaeon,9.0,"nuntia, diluuium, iam, decrescentis, ad, arca",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.dittochaeon,10.0,"os, columba, refero, ramus, uirido, oliua",6,"0.0, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.dittochaeon,11.0,"coruus, enim, ingluuies, per, foedus, cadauer, capio",7,"NaN, NaN, NaN, NaN, -1.0, NaN, NaN",-0.143,-0.143,,0.0
