Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
prudentius.hamartigenia,1.1,"frater, ephebus, fossor, et, pastor, duo",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,ephebus,0.167
prudentius.hamartigenia,1.2,"qui, femina, primus, primus, procreo",5,"NaN, 0.0, 0.5, 0.5, NaN",0.2,0.0,,0.0
prudentius.hamartigenia,1.3,"sisto, ad, ara, de, labor, fructus",6,"NaN, NaN, NaN, NaN, -0.5, 0.5",0.0,-0.083,,0.0
prudentius.hamartigenia,1.4,"deus, sacro, munus, primordius",4,"0.0, NaN, 0.5, NaN",0.125,0.0,,0.0
prudentius.hamartigenia,1.5,"hic, terrulentis, ille, uiuo, fungor",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.2
prudentius.hamartigenia,1.6,"certo, ueto, discrepo, inmolant",4,"NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.hamartigenia,1.7,"fetus, bidens, alter, at, alter, scrobis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.hamartigenia,1.8,"deus, paruus, con-probo, hostio",4,"0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.9,"reicio, ille, quam, paro, grandis",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
prudentius.hamartigenia,1.1,"uox, ecce, superus, mitto, persulto, thronus",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.11,"‘cai, -ne, quiesco, namque, si, rectus, offertor",7,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN",0.143,0.0,,0.0
prudentius.hamartigenia,1.12,"offertor, neque, tu, lex, recta, diuido",6,"NaN, NaN, NaN, 0.5, NaN, NaN",0.083,0.0,tu,0.167
prudentius.hamartigenia,1.13,"peruerto, niger, ueto, culpa, traxerint.’",5,"NaN, NaN, NaN, -1.0, NaN",-0.2,-0.2,culpa,0.2
prudentius.hamartigenia,1.14,"armo, deinde, parricidal, manus",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
prudentius.hamartigenia,1.15,"frater, probo, sanctitas, aemulus",4,"0.0, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.16,"germanus, curuo, collum, frango, sarculum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,sarculum,0.2
prudentius.hamartigenia,1.17,"mundus, recens, caedes, tinguit, impius",5,"1.0, 0.0, -0.5, NaN, -1.0",-0.1,-0.3,"caedes, impius",0.4
prudentius.hamartigenia,1.18,"serus, expio, iam, senesco, sacro",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,expio,0.2
prudentius.hamartigenia,1.19,"cruor, christus, quo, peremptor, concido",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,cruor,0.2
prudentius.hamartigenia,1.2,"mors, primus, coepio, innocens, uulnus",5,"-1.0, 0.5, NaN, 0.5, -1.0",-0.2,-0.4,innocens,0.2
prudentius.hamartigenia,1.21,"cedo, deinde, uulnero, innoxius",4,"NaN, NaN, NaN, 0.5",0.125,0.0,,0.0
prudentius.hamartigenia,1.22,"per, crimen, orior, dissoluo, sum, crimen",6,"NaN, -1.0, NaN, NaN, NaN, -1.0",-0.333,-0.333,"crimen, crimen",0.333
prudentius.hamartigenia,1.23,"abel, qui, ante, percello, christum, dehinc",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.hamartigenia,1.24,"finio, et, ipse, sum, finis, exsortem, peto",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.25,"ergo, ex, sum, priscus, coepio, fabula",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
prudentius.hamartigenia,1.26,"facio, primus, res, noto, sum, ulter",6,"NaN, 0.5, 0.0, NaN, NaN, NaN",0.083,0.0,,0.0
prudentius.hamartigenia,1.27,"ut, ille, mors, inchoator, rusticus",5,"NaN, NaN, -1.0, NaN, -0.5",-0.3,-0.3,,0.0
prudentius.hamartigenia,1.28,"insulsus, terra, defero, libamen",4,"NaN, 0.0, NaN, NaN",0.0,0.0,insulsus,0.25
prudentius.hamartigenia,1.29,"deus, res, mortuaris, deputans",4,"0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.3,"rastrum, redigo, dignus, sacrum, credo",5,"NaN, NaN, 1.0, NaN, NaN",0.2,0.0,,0.0
prudentius.hamartigenia,1.31,"uiuo, atrox, aemulator, hostia",4,"NaN, -1.0, NaN, NaN",-0.25,-0.25,hostia,0.25
prudentius.hamartigenia,1.32,"agnosco, nempe, qui, figuro, hic, denoto",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
prudentius.hamartigenia,1.33,"quis, fratricida, quis, peremptor, inuidus",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,inuidus,0.2
prudentius.hamartigenia,1.34,"prauus, sacer, disciplina, diuido",4,"-1.0, 1.0, 0.0, NaN",0.0,-0.25,prauus,0.25
prudentius.hamartigenia,1.35,"macto, dum, sui, ueto, censeo, rectus",6,"NaN, NaN, NaN, NaN, NaN, 1.0",0.167,0.0,,0.0
prudentius.hamartigenia,1.36,"marcius, -ne, aruum, forma, corrumpo",5,"NaN, NaN, NaN, 1.0, NaN",0.2,0.0,,0.0
prudentius.hamartigenia,1.37,"doceo, duitas, discreparis, ab, spiritus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
prudentius.hamartigenia,1.38,"contamino, donum, caro, offertor",4,"NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.39,"et, segregatim, numen, aeternus, colo",5,"NaN, NaN, NaN, 0.5, NaN",0.1,0.0,,0.0
prudentius.hamartigenia,1.4,"qui, si, quiesco, neque, moneo, neglego",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.hamartigenia,1.41,"pax, quietus, diligo, germanitas",4,"0.5, NaN, NaN, NaN",0.125,0.0,,0.0
prudentius.hamartigenia,1.42,"unus, atque, uiuus, fateor, uiuus, deus",6,"NaN, NaN, 0.0, NaN, 0.0, 0.0",0.0,0.0,"uiuus, uiuus",0.333
prudentius.hamartigenia,1.43,"hic, sui, caducus, dedico, mysterium",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.2
prudentius.hamartigenia,1.44,"summa, profanus, diuido, substantia",4,"NaN, NaN, NaN, NaN",nan,nan,profanus,0.25
prudentius.hamartigenia,1.45,"malus, bonus, ceu, duo, separo",5,"-1.0, 1.0, NaN, NaN, NaN",0.0,-0.2,,0.0
prudentius.hamartigenia,1.46,"regnum, deus, sceptrum, committo, duo",5,"0.0, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.47,"deus, sum, credo, qui, fateor, malus",6,"0.0, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
prudentius.hamartigenia,1.48,"cai, -ne, cruentus, unitas, inuidus",5,"NaN, NaN, NaN, NaN, -1.0",-0.2,-0.2,"cruentus, inuidus",0.4
prudentius.hamartigenia,1.49,"mundus, colonus, immolator, squalidus",4,"1.0, 0.0, NaN, -1.0",0.0,-0.25,,0.0
prudentius.hamartigenia,1.5,"qui, litame, -ne, sordeo, et, terra, sapio",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,sordeo,0.143
prudentius.hamartigenia,1.51,"terra, caducus, corpus, uena, putrem",5,"0.0, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
prudentius.hamartigenia,1.52,"umor, densus, conglobo, et, puluis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.hamartigenia,1.53,"natura, qui, fraus, floreo, fertilis",5,"0.0, NaN, -1.0, NaN, 1.0",0.0,-0.2,fraus,0.2
prudentius.hamartigenia,1.54,"fecundus, fundo, noxius, crimen",4,"1.0, NaN, 0.5, -1.0",0.125,-0.25,"noxius, crimen",0.5
