Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
prudentius.psychomachia,1.1,"senex, fidelis, primus, credo, uia",5,"0.0, 1.0, 0.5, NaN, 0.0",0.3,0.0,,0.0
prudentius.psychomachia,1.2,"abram, beati, semen, serus, pater",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
prudentius.psychomachia,1.3,"adiicio, qui, nomen, augeo, syllaba",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
prudentius.psychomachia,1.4,"abram, parens, dico, abraham, deus",5,"NaN, 0.5, NaN, NaN, 0.0",0.1,0.0,,0.0
prudentius.psychomachia,1.5,"senilis, pignus, qui, dico, uictima",5,"-0.5, 0.0, NaN, NaN, NaN",-0.1,-0.1,,0.0
prudentius.psychomachia,1.6,"doceo, ad, ara, cum, litaris, quis, uolo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
prudentius.psychomachia,1.7,"qui, dulcis, chordus, qui, pius, qui, unicus",7,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,0.0,,0.0
prudentius.psychomachia,1.8,"deus, libet, offertor, credo",4,"0.0, NaN, NaN, NaN",0.0,0.0,,0.0
prudentius.psychomachia,1.9,"pugno, nos, cum, profanus, gens",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,profanus,0.2
prudentius.psychomachia,1.1,"suadeo, suum, suasor, exemplum, do",5,"NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
prudentius.psychomachia,1.11,"neque, ante, proles, coniugal, gigno",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
prudentius.psychomachia,1.12,"deus, placeo, mater, uirtus, edo",5,"0.0, NaN, 0.0, 1.0, NaN",0.2,0.0,,0.0
