Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
rutilius.de_reditu,1.1,"uelox, potis, redeo, miror, lector",5,"NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
rutilius.de_reditu,1.2,"tam, cito, romuleis, possum, careo, bonus",6,"NaN, NaN, NaN, NaN, NaN, 1.0",0.167,0.0,,0.0
rutilius.de_reditu,1.3,"quis, longus, totus, roma, ueneror, aeuum",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
rutilius.de_reditu,1.4,"nihil, umquam, longus, sum, qui, sine, finis, placeo",8,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
rutilius.de_reditu,1.5,"o, quantus, et, quotiens, possum, numeraris, beatus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
rutilius.de_reditu,1.6,"nascor, felix, qui, mereo, solum",5,"NaN, 1.0, NaN, NaN, 0.0",0.2,0.0,,0.0
rutilius.de_reditu,1.7,"qui, romanus, procerus, generosus, propago",5,"NaN, NaN, 0.5, 1.0, 0.0",0.3,0.0,,0.0
rutilius.de_reditu,1.8,"ingenitus, cumulo, urbs, honor, decus",5,"NaN, NaN, 0.5, 1.0, NaN",0.3,0.0,,0.0
rutilius.de_reditu,1.9,"semen, uirtus, demitto, et, trado, caelum",6,"NaN, 1.0, NaN, NaN, NaN, 0.5",0.25,0.0,,0.0
rutilius.de_reditu,1.1,"non, possum, alius, dignus, sum, locus",6,"NaN, NaN, NaN, 1.0, NaN, 0.0",0.167,0.0,,0.0
rutilius.de_reditu,1.11,"felix, etiam, qui, propior, munus, primus",6,"1.0, NaN, NaN, 0.0, 0.5, 0.5",0.333,0.0,,0.0
rutilius.de_reditu,1.12,"sortio, latias, obtineo, domus",4,"NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
rutilius.de_reditu,1.13,"religiosus, pateo, peregrina, curia, laus",5,"NaN, NaN, NaN, -1.0, 1.0",0.0,-0.2,,0.0
rutilius.de_reditu,1.14,"neque, puto, externus, qui, decet, sum, suus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
rutilius.de_reditu,1.15,"ordo, imperium, collega, fruor",4,"0.5, 0.0, NaN, NaN",0.125,0.0,,0.0
rutilius.de_reditu,1.16,"et, pars, genius, qui, ueneror, habeo",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
rutilius.de_reditu,1.17,"qualis, per, aetherius, mundanus, uertex, axis",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
rutilius.de_reditu,1.18,"concilium, superus, credo, sum, deus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
