Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.agamemnon,1.0,"opacus, linquo, dis, infernus, locum",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.agamemnon,2.0,"adsum, profundo, tartaris, emitto, specus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,specus,0.2
seneca.agamemnon,3.0,"incertus, uter, odi, sedes, magis",5,"-0.5, NaN, NaN, 0.0, NaN",-0.1,-0.1,,0.0
seneca.agamemnon,4.0,"fugio, thyestes, inferi, superus, fugo",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
seneca.agamemnon,5.0,"en, horreo, animus, et, pauor, membrum, excutio",7,"NaN, NaN, 0.5, NaN, -1.0, NaN, NaN",-0.071,-0.143,,0.0
seneca.agamemnon,6.0,"uideo, paternus, immo, fraternus, lar",5,"NaN, NaN, NaN, 0.0, NaN",0.0,0.0,fraternus,0.2
seneca.agamemnon,7.0,"hic, sum, uetustus, pelopiae, limen, domus",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,hic,0.167
seneca.agamemnon,8.0,"hinc, auspicaris, regius, caput, decus",5,"NaN, NaN, 0.0, 0.0, NaN",0.0,0.0,,0.0
seneca.agamemnon,9.0,"mos, sum, pelasgis, hic, sedeo, alo, torus",7,"0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.071,0.0,hic,0.143
seneca.agamemnon,10.0,"qui, superbus, sceptrum, gesto, manus",5,"NaN, -1.0, NaN, NaN, 0.0",-0.2,-0.2,,0.0
seneca.agamemnon,11.0,"locus, hic, habeo, curia, hic, epulis, locus",7,"0.0, NaN, NaN, -1.0, NaN, NaN, 0.0",-0.143,-0.143,"hic, hic, epulis",0.429
seneca.agamemnon,12.0,"libet, reuorto, nonne, uel, tristis, lacus",6,"NaN, NaN, NaN, NaN, -1.0, 0.0",-0.167,-0.167,,0.0
seneca.agamemnon,13.0,"incolo, sero, nonne, custos, styx",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.agamemnon,14.0,"trigeminus, niger, collum, iacto, iuba",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.agamemnon,15.0,"ubi, ille, celer, corpus, euincio, rota",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
seneca.agamemnon,16.0,"in, sui, refero, ubi, per, aduerro, irritus",7,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5",-0.071,-0.071,,0.0
seneca.agamemnon,17.0,"redeo, totiens, ludo, saxum, labor",5,"NaN, NaN, NaN, 0.0, -0.5",-0.1,-0.1,,0.0
seneca.agamemnon,18.0,"ubi, tondeo, ales, auidus, fecundus, iecur",6,"NaN, NaN, 0.0, NaN, 1.0, NaN",0.167,0.0,,0.0
seneca.agamemnon,19.0,"et, inter, unda, feruidus, exuro, sitis",6,"NaN, NaN, 0.0, -0.5, NaN, -0.5",-0.167,-0.167,,0.0
seneca.agamemnon,20.0,"aqua, fugax, os, decipio, appeto",5,"0.0, NaN, 0.0, NaN, NaN",0.0,0.0,"fugax, decipio",0.4
seneca.agamemnon,21.0,"poena, do, caelitum, daps, grauis",5,"-1.0, NaN, NaN, NaN, -0.5",-0.3,-0.3,poena,0.2
seneca.agamemnon,22.0,"sed, ille, noster, pars, quotus, sum, culpa, senex",8,"NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, 0.0",-0.125,-0.125,culpa,0.125
seneca.agamemnon,23.0,"reputo, omnis, qui, ob, infer, manus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
seneca.agamemnon,24.0,"quaesitor, urna, gnosius, uerso, reus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,reus,0.2
seneca.agamemnon,25.0,"uinco, thyestes, scelus, cunctus, meus",5,"NaN, NaN, -1.0, 0.0, 0.0",-0.2,-0.2,scelus,0.2
seneca.agamemnon,26.0,"ab, frater, uinco, liber, plenus, tres",6,"NaN, 0.0, NaN, 0.5, 0.0, NaN",0.083,0.0,,0.0
seneca.agamemnon,27.0,"in, ego, sepelio, uiscera, exedo, meus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,sepelio,0.167
seneca.agamemnon,28.0,"neque, hactenus, fortuna, maculo, pater",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,maculo,0.2
seneca.agamemnon,29.0,"sed, magnus, alius, audeo, committo, scelus",6,"NaN, 0.0, NaN, NaN, NaN, -1.0",-0.167,-0.167,scelus,0.167
seneca.agamemnon,30.0,"gnatae, nefandus, peto, concubo, iubeo",5,"NaN, -1.0, NaN, NaN, NaN",-0.2,-0.2,"nefandus, concubo",0.4
seneca.agamemnon,31.0,"non, pauidus, haurio, dictum, sed, capio, nefas",7,"NaN, -1.0, NaN, 0.0, NaN, NaN, -1.0",-0.286,-0.286,nefas,0.143
seneca.agamemnon,32.0,"ergo, ut, per, omnis, liber, eo, parens",7,"NaN, NaN, NaN, NaN, 0.5, NaN, 0.5",0.143,0.0,,0.0
seneca.agamemnon,33.0,"cogo, fatum, gnata, fero, uterus, grauis",6,"NaN, 0.0, NaN, NaN, NaN, -0.5",-0.083,-0.083,,0.0
seneca.agamemnon,34.0,"ego, pater, dignus, uerso, natura, sum, retro",7,"NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN",0.143,0.0,,0.0
seneca.agamemnon,35.0,"auus, parens, pro, nefas, pater, uir",6,"NaN, 0.5, NaN, -1.0, 0.0, 0.5",0.0,-0.167,nefas,0.167
seneca.agamemnon,36.0,"nascor, nepos, misceo, nox, dies",5,"NaN, 0.0, NaN, 0.0, 0.0",0.0,0.0,,0.0
seneca.agamemnon,37.0,"sed, serus, tandem, respicio, fatisco, malus",6,"NaN, NaN, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
seneca.agamemnon,38.0,"post, fatum, demum, sors, incertus, fides",6,"NaN, 0.0, NaN, -1.0, -0.5, 1.0",-0.083,-0.25,,0.0
seneca.agamemnon,39.0,"rex, ille, rex, ducto, agamemno, -ne, dux",7,"0.0, NaN, 0.0, NaN, NaN, NaN, 0.5",0.071,0.0,agamemno,0.143
seneca.agamemnon,40.0,"qui, sequor, mille, uexillum, ratis",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.agamemnon,41.0,"iliacus, uelis, mare, tego, suus",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
seneca.agamemnon,42.0,"post, decimus, phoebus, lustro, deuinco, ilium",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.agamemnon,43.0,"adsum, do, coniunx, iugulum, suus",5,"NaN, NaN, -0.5, NaN, NaN",-0.1,-0.1,,0.0
seneca.agamemnon,44.0,"iam, iam, nato, sanguis, alterno, domus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
seneca.agamemnon,45.0,"ensis, securis, telum, diuido, grauis",5,"NaN, NaN, NaN, NaN, -0.5",-0.1,-0.1,,0.0
seneca.agamemnon,46.0,"ictus, bipennis, regius, uideo, caput",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
seneca.agamemnon,47.0,"iam, scelus, prope, sum, iam, dolus, caedes, cruor",8,"NaN, -1.0, NaN, NaN, NaN, NaN, -0.5, NaN",-0.188,-0.188,"scelus, dolus, caedes, cruor",0.5
seneca.agamemnon,48.0,"paro, epulae, causa, natal, tuus",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
seneca.agamemnon,49.0,"aegisthe, uenio, quis, pudor, uultus, grauo",6,"NaN, NaN, NaN, 0.5, NaN, NaN",0.083,0.0,pudor,0.167
