Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.hercules_furens,1.0,"herculis, lycus, amphitryo, -ne, iuno, theseus, megara, chorus, thebanorum, soror, tono, hic, enim, solus, ego, nomen, relinquo, sum, semper, alienus, iouem, atque, templum, superus, uiduo, desero, aether, locus, caelum, pello, paelicibus, do",32,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN",-0.016,-0.031,hic,0.031
seneca.hercules_furens,5.0,"tellus, colo, sum, paelices, caelum, teneo, hinc, arctos, altus, pars, glacial, polio, sublimis, classis, sidus, argolicas, ago, hinc, qui, tepeo, uerus, labor, dies, tyriae, per, unda, uecto, europae, niteo",29,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN",0.052,-0.017,classis,0.034
seneca.hercules_furens,10.0,"illinc, timeo, ratis, atque, pontus, grex, passim, uago, exeo, atlantides, ferrum, minax, hinc, terreo, oreon, deus, suo, perseus, aureus, stella, habeo, hinc, clarus, geminus, signum, tyndaridae, mico",27,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN",0.037,0.0,,0.0
seneca.hercules_furens,15.0,"quisque, obstino, mobilis, tellus, sto, neque, ipse, tantus, bacchus, aut, bacchi, parens, adeo, superus, ne, qui, pars, probrum, uaco, mundus, puella, sero, gnosiacae, gero, sed, uetero, serus, queror, unus, ego, dirus, atque, ferus",33,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0",-0.045,-0.091,"probrum, dirus, ferus",0.091
seneca.hercules_furens,20.0,"thebana, tellus, nuribus, aulus, spargo, impius, quotiens, nouerca, facio, escendo, licet, meus, uictrix, teneo, alcmene, locus, parito, nascor, astrum, promitto, occupo, in, qui, ortus, mundus, impendo, dies",27,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0",0.0,-0.037,"impius, nouerca",0.074
seneca.hercules_furens,25.0,"tardus, eous, phoebus, effulgeo, mare, retineo, mergo, iubeo, oceanus, iubar, non, sic, abeo, odium, uiuax, ago, uiolentus, ira, animus, et, saeuus, dolor, aeternus, bellum, pax, tollo, gero",27,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, -1.0, 0.5, NaN, -1.0, -1.0, 0.5, 0.0, 0.5, NaN, NaN",-0.13,-0.185,saeuus,0.037
seneca.hercules_furens,30.0,"qui, bellum, quisquis, horridus, tellus, creo, inimicus, quisquis, pontus, aut, aer, fero, terribilis, dirus, pestilens, atrox, ferus, frango, atque, domo, sum, supero, et, cresco, malus, ira, noster, fruor, in, laus, suus",31,"NaN, 0.0, NaN, -1.0, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, -0.5, -1.0, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, 1.0, NaN",-0.21,-0.242,"dirus, ferus",0.065
seneca.hercules_furens,35.0,"meus, uerto, odium, dum, nimis, saeuus, impero, pater, probo, gloria, facio, locus, qui, sol, reduco, quisque, depono, dies, bini, propinquus, tinguit, aethiopas, fax, indomitus, uirtus, colo, et, totus, deus",29,"0.0, NaN, -1.0, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0",-0.034,-0.069,"saeuus, fax, indomitus",0.103
seneca.hercules_furens,40.0,"narro, orbis, monstrum, iam, desum, ego, paruus, labor, sum, hercules, iubeo, ex-equio, quam, ego, iubeo, laetus, imperium, excipio, qui, ferus, tyrannus, ius, uiolentus, queo, noceo, iuuenis, nempe, pro, telum, gero",30,"NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, -1.0, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.017,-0.083,"monstrum, ferus, tyrannus, noceo",0.133
seneca.hercules_furens,45.0,"qui, timeo, et, qui, fundo, armo, uenio, leo, et, hydra, neque, satis, terra, pateo, effringo, ecce, limen, infernus, io, et, opimus, uinco, rex, ad, superus, refero, parum, sum, reuorto, foedus, umbraris, pereo",32,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN",-0.016,-0.031,leo,0.031
seneca.hercules_furens,50.0,"uideo, ipse, uideo, nox, discutio, inferus, et, dite, domo, spolium, iacto, pater, fraternus, cur, non, tingo, et, opprimo, traho, ipse, catena, par, sortio, ioui, eremus, capio, potio, et, retego, styga",30,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.017,0.0,"fraternus, catena",0.067
