Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.hercules_oetaeus,1.0,"herculis, iole, deianira, nutrix, alcmena, hyllus, nuntius, lichas, philoctetes, chorus, uirgo, chorus, aetolaris, mulier, sator, deus, qui, excutio, manus, uter, phoebus, sentio, fulmen, domus, securus, regnum, profero, pax, tu, quicumque, nereus, porrigo, terra, ueto",34,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN",0.044,0.0,"uirgo, mulier, tu",0.088
seneca.hercules_oetaeus,5.0,"non, sum, tono, perfidus, rex, iaceo, saeuus, tyrannus, frango, quisquis, sum, tu, fulmino, sed, ego, caelum, parens, adhuc, nego, paruus, certus, io, ubique, dignus, tu, testo, sum, meus",28,"NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0",0.018,-0.071,"perfidus, iaceo, saeuus, tyrannus, tu, tu",0.214
seneca.hercules_oetaeus,10.0,"pater, nouerca, quis, tamen, necto, mora, numquid, timeo, numquid, impono, sui, non, possum, atlas, fero, cum, caelum, herculis, quis, astrum, genitor, quis, nego, mors, ego, tu, certus, remitto, omnis, concedo, malus",31,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0",-0.032,-0.065,"nouerca, tu",0.065
seneca.hercules_oetaeus,15.0,"qui, terra, gigno, pontus, aer, inferus, nullus, per, urbs, erro, arcadias, leo, stymphal, iacio, sum, maenal, nullus, sum, ferus, spargo, per-emo, aureus, serpens, nemus, et, hydra, uireo, pono, et, nosco, hebro",31,"NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.032,"leo, maenal, ferus, per-emo, serpens",0.161
seneca.hercules_oetaeus,20.0,"cruor, pinguis, hospes, frango, grex, hostis, traho, spolium, thermodontiae, uideo, silentus, fatum, neque, tantus, redeo, sed, trepidus, ater, cerberum, uideo, dies, et, ille, sol, nullus, antaeus, libys",27,"NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.074,-0.074,cruor,0.037
seneca.hercules_oetaeus,25.0,"anima, resumo, cado, ante, ara, suus, busiris, unus, sum, geryo, -ne, spargo, manus, taurus, populus, horridus, centum, pauor, quicumque, tellus, gigno, infestus, occido, meo, fundo, sum, dextera, irascor, deus",29,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",-0.086,-0.103,occido,0.034
seneca.hercules_oetaeus,30.0,"non, licet, sum, si, nego, mundus, ferus, animus, nouerca, reddo, nunc, natus, pater, uel, astrum, fortis, neque, peto, ut, monstro, iter, permitto, tantus, genitor, inuenio, uia, uel, si, timeo, ne, terra, concipio, ferus",33,"NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0",0.0,-0.061,"ferus, nouerca, ferus",0.091
seneca.hercules_oetaeus,35.0,"propero, malus, quicumque, dum, terra, herculis, habeo, uideo, nam, quis, inuado, malus, aut, quis, per, urbs, rursus, argolicas, sum, iuno, odium, dignus, in, tueor, meus, laus, redigo, nullus, ego, tellus, sileo",31,"NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN",-0.016,-0.097,,0.0
seneca.hercules_oetaeus,40.0,"ego, sentio, ursa, frigidus, scythicae, genus, indusque, phoebus, subdo, cancer, libys, tu, claris, titan, testo, occurro, tu, quicumque, fulgeo, neque, meus, lux, prosequor, possum, triumphus, sol, excedo, uicis",28,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.036,-0.036,"ursa, tu, tu",0.107
seneca.hercules_oetaeus,45.0,"intro, noster, substo, meto, dies, natura, cedo, terra, deficio, gradus, lasso, prior, sum, nox, et, exter, chaos, in, ego, in-curro, inde, ad, hic, orbis, redeo, nemo, unde, retro, sum, fero, oceani, minae",32,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -0.5",-0.016,-0.031,"chaos, hic",0.062
