Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.medea,1.0,"deus, coniugal, tu, genial, torus, lucinus, custos, quisque, domo, fretus, tiphy, -ne, nouus, frenaris, doceo, ratis, et, tu, profundo, saeuus, dominator, mare",22,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0",0.023,-0.045,"tu, tu, saeuus",0.136
seneca.medea,5.0,"clarus, titan, diuido, orbus, dies, taceo, praebeo, conscius, sacrum, iubar, hecate, triformis, quisque, iuro, ego, deus, iason, quisque, medeae, magis, fas, sum, precor, nox, aeternus, chaos",26,"0.5, NaN, NaN, -0.5, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN",0.0,-0.038,"conscius, iason, chaos",0.115
seneca.medea,10.0,"auerto, superi, regnum, maneo, impii, dominus, regnum, tristis, et, domina, fides, bonus, rapio, uox, non, faustus, precor, nunc, nunc, adsum, scelus, ultrix, dea, crinis, soluo, squalidus, serpens",27,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 1.0, 1.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN",0.0,-0.111,"impii, scelus, ultrix, serpens",0.148
seneca.medea,15.0,"ater, cruentus, manus, amplector, fax, adsum, thalamus, horridus, quondam, meus, qualis, sto, coniunx, letum, nouus, letum, socer, et, regia, stirps, do, do, malus, alius, qui, preco, sponsum, malus",28,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, -0.5, -1.0, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0",-0.161,-0.196,"cruentus, fax",0.071
seneca.medea,20.0,"uiuo, per, urbs, erro, ignotus, egeo, exul, paueo, inuideo, incertus, laris, iam, notus, hospes, limen, alienus, expeto, ego, coniunx, opto, quoque, non, alius, queo, malus, precor, liber, similis, pater",29,"NaN, NaN, 0.5, 0.0, -0.5, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, 0.0, 0.0",-0.103,-0.138,,0.0
seneca.medea,25.0,"similis, mater, pario, iam, pario, ultio, sum, pario, querela, uerbum, in, cassus, serus, non, eo, in, hostis, manus, excutio, fax, caelo, lux, specto, hic, noster, sator, sol, genus, et, specto, et, currus, insideo",33,"0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",-0.076,-0.076,"ultio, fax, hic",0.091
seneca.medea,30.0,"per, soleo, purus, spatior, decurro, polio, non, redeo, in, ortus, et, remetior, dies, do, do, per, aura, currus, patrius, ueho, committo, habena, genitor, et, flagro, ignifer, lorus, tribuo, moderaris, iugum",30,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.067,0.0,,0.0
seneca.medea,35.0,"geminus, corinthos, litus, oppono, mora, cremo, flamma, mare, committo, duo, hic, resto, unus, pronuba, thalamus, fero, ut, ipse, pinus, post, sacrifico, prex, caedo, dico, uictima, altar",26,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.038
seneca.medea,40.0,"per, uiscera, ipse, quaero, supplicium, uia, si, uiuo, animus, si, quis, antiquus, tu, remaneo, uigor, pello, femineus, metus, et, inhospital, caucasum, mens, induo, quicumque, uideo, pontus, aut, phasis, nefas",29,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0",-0.052,-0.086,"supplicium, tu, nefas",0.103
seneca.medea,45.0,"uideo, isthmos, effero, ignotus, horridus, tremo, caelum, pariter, atque, terra, malus, mens, intus, agito, uulnero, et, caedes, et, uagus, funus, per, artus, leuis, memoro, nimis, hic, uirgo, facio, grauis, exurgat, dolor",31,"NaN, NaN, NaN, -0.5, -1.0, NaN, 0.5, NaN, NaN, 0.0, -1.0, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0",-0.129,-0.161,"caedes, hic, uirgo",0.097
seneca.medea,50.0,"magnus, iam, ego, scelus, post, pario, decet, accingo, ira, tu, in, exitium, paro, furor, totus, par, narro, tuus, repudio, thalamus, quo, uir, linquo, modo, hic, quo, sequor, sum, rumpo, iam, segnis, mora",32,"0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, -1.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.094,-0.125,"scelus, tu, furor, hic",0.125
seneca.medea,55.0,"qui, scelus, pario, sum, scelus, linquo, sum, domus, ad, rex, thalamus, numen, prosper, qui, caelum, superi, quisque, regno, fretus, adsum, cum, populus, rite, faueo, primus, sceptrifer, collum, tono",28,"NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN",0.018,-0.071,"scelus, scelus",0.071
seneca.medea,60.0,"taurus, celsus, fero, tergore, candidus, latinus, niueus, femina, corpus, in-tento, iugum, placeo, et, asper, mars, sanguineus, qui, cohibeo, manus, qui, do, belliger, foedero, gens",24,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",-0.021,-0.021,"tergore, niueus, foedero",0.125
seneca.medea,65.0,"et, cornu, retineo, diues, copia, dono, tener, mitis, hostia, et, tu, qui, fax, legitimus, adsum, nox, discutio, auspex, dextera, huc, incedo, gradus, marcidus, ebrius",24,"NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5",0.062,-0.021,"hostia, tu, fax, ebrius",0.167
seneca.medea,70.0,"praecingo, roseus, tempus, uinculum, et, tu, qui, geminus, praeuius, tempus, tardus, stella, redeo, semper, amo, tu, mater, auidus, tu, cupio, nurus, quamprimum, radius, spargo, lucidus",25,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"tu, tu, tu, nurus",0.16
seneca.medea,75.0,"uincio, uirgineus, decor, longus, cecropias, nurus, et, qui, taygeti, iugum, exerceo, iuuenis, modo, murus, qui, careo, oppidum",17,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,nurus,0.059
seneca.medea,80.0,"et, qui, aonius, latex, alpheosque, sacer, lauo, si, forma, uolo, aspicio, cedo, aesonio, duco, proles, fulmen, improbus",17,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0",0.059,-0.059,improbus,0.059
seneca.medea,85.0,"apto, qui, iugum, tigris, neque, non, qui, tripus, moueo, frater, uirgo, asper, cedo, castor, cum, suus, pollux, caestus, aptus",19,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.026,-0.026,uirgo,0.053
seneca.medea,90.0,"sic, sic, caelicola, precor, uinco, femina, coniunx, uir, longus, supero, uir, hic, cum, femineus, .constitit, in, chorus, unus, facies, praeniteo, omnis",21,"NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.5, 0.0, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,-0.048,hic,0.048
seneca.medea,95.0,"sic, cum, sol, pereo, sidereus, decor, et, densus, latito, pleiadum, grex, cum, phoebus, solidus, lumen, non, suus, orbis, circumeo, cornu, alligo, ostrum, sic, niueus, puniceus, color",26,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"niueus, puniceus",0.077
seneca.medea,100.0,"perfundo, rubesco, sic, nitidus, iubar, pastor, lux, nouo, roscidus, aspicio, eripio, thalamus, phasidis, horridus, effrenus, soleo, pectus, coniunx, inuito, trepidus, prehendo, dextera",22,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, 0.0",-0.091,-0.114,,0.0
seneca.medea,105.0,"felix, aeoliam, corripio, uirgo, nunc, primus, socer, sponsum, uolo, concedo, iuuenis, ludo, iurgium, hinc, illinc, iuuenis, mitto, carmen, rarus, sum, in, dominus, iustus, licentia",24,"1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, -0.5",0.042,-0.062,"uirgo, licentia",0.083
seneca.medea,110.0,"candidus, thyrsigeri, proles, generosus, lyaei, multifidus, iam, tempus, sum, succendo, pinus, excutio, sollemnem, digitus, marceo, ignis, festus, dicax, fundo, conuicior, fescenninus, soluo, turba, iocus, taceo, eo, ille, tenebrae",28,"NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN",0.018,-0.018,,0.0
seneca.medea,115.0,"si, qui, peregrinus, nubo, fugitiuus, marito, occaedes, auris, pello, Hymenaeus, meus, uix, ipse, tantus, uix, annuo, credo, malus, hic, facio, iason, possum, eripio, pater, patria, atque, regnum, sedes, solus, exter",30,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, -0.5, 0.0",-0.05,-0.05,"nubo, fugitiuus, marito, hic, iason",0.167
