Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.octavia,1.0,"iam, uago, caelum, sidus, fulgeo, aurora, fugo, surgo, titan, radio, coma, mundo, dies, reddo, clarus",15,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5",0.067,0.0,,0.0
seneca.octavia,5.0,"ago, tot, tantus, onero, malus, repeto, assuesco, iam, tu, queror, atque, aequoreus, uinco, alcyone, uinco, et, uolucris, pandionias, grauis, namque, hic, fortuna, tuus, sum",24,"NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN",-0.062,-0.062,"tu, hic",0.083
seneca.octavia,10.0,"semper, genetrix, defleo, ego, primus, meus, causa, malus, tristis, queror, nascor, exaudio, si, quis, remaneo, sensus, in, umbra, utinam, ante, manus, grandaeuus, suus",23,"NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.043,-0.087,,0.0
seneca.octavia,15.0,"meus, rumpo, stamen, clotho, tuus, quam, maereo, uulnero, uideo, oro, foedo, spargo, cruor, o, lux, semper, funestus, ego, tempus, ab, ille",21,"0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN",-0.048,-0.048,"foedo, cruor, funestus",0.143
seneca.octavia,20.0,"lux, sum, tenebrae, inuideo, magis, fero, saeuus, iubeo, nouerca, hostilis, animus, uultus, trux, ille, ille, meus, tristis, erinys, thalamus, stygius, praefero, ignis, tu, ex-tingo, misero, pater, modo, qui, totus, pareo, orbis",31,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",-0.081,-0.097,"saeuus, nouerca, hostilis, trux, erinys, tu, misero",0.226
seneca.octavia,25.0,"quisque, britanni, ultra, oceanus, tergum, do, dux, noster, ante, ignosco",10,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.05,0.0,,0.0
seneca.octavia,30.0,"ius, suus, coniunx, heu, ego, pater, insidiae, opprimo, iaceo, seruo, domus, cum, proles, tuus, capio, tyrannus, fulgor, primus, capio, et, fragilis, bonus",22,"0.5, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0",0.068,-0.023,"heu, insidiae, iaceo, tyrannus",0.182
seneca.octavia,35.0,"fallax, aula, quisquis, attono, stupeo, subeo, lateo, ecce, fortuna, impetus, modo, praepossum, cerno, euerro, domus, stirps, que, claudo, qui, imperium, sum, subicio, orbis, pareo, liber, diu",26,"-1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN",-0.019,-0.038,,0.0
seneca.octavia,40.0,"oceanus, et, recipio, inuitus, ratis, en, qui, britannis, primus, impono, iugum, ignotus, tantus, classis, tego, fretus, inter, gens, barbara, tueor, sum, et, saeuus, mare, coniunx, scelus, occido",27,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.0, -0.5, -1.0, NaN",-0.093,-0.13,"classis, barbara, saeuus, scelus, occido",0.185
seneca.octavia,45.0,"mox, ille, nascor, qui, exstinctus, iaceo, frater, uenenum, maereo, infelix, soror, idem, coniunx, neque, grauis, luctus, ualeo, ira, cogo, tego, crudelis, uir, qui, sancio, refugio, semper, atque, odium, par",29,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, -1.0, NaN, NaN, -0.5, NaN, -0.5, -1.0, NaN, -1.0, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5",-0.19,-0.224,"iaceo, infelix, crudelis",0.103
seneca.octavia,50.0,"ardeo, maritus, mutuus, flagro, fax, animus, doleo, noster, solo, fides, pietas, frustra, uincio, immitis, dolor, consilium, noster, neque, rex, mens, possum, generosus, ardor, sed, malus, uireo, capio",27,"NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, -1.0, -1.0, 0.5, NaN, NaN, 0.0, 0.5, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN",0.056,-0.111,"maritus, fax, immitis",0.111
seneca.octavia,55.0,"heu, quam, nefandus, prospicio, noster, timor, scelus, qui, utinam, numen, auerto, deus, o, meus, nullus, aequo, malus, fortuna, licet, repeto, luctus, electrus, tuus",23,"NaN, NaN, -1.0, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, 0.0, NaN, NaN, -1.0, NaN, 0.0",-0.196,-0.196,"heu, nefandus, scelus",0.13
seneca.octavia,60.0,"tu, maereo, caedo, licet, fleo, parens, scelus, ulciscor, uindex, frater, tuus, qui, pietas, hostis, rapio, tego, fides",17,"NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, 0.0, 0.0, NaN, 1.0, -1.0, NaN, NaN, 1.0",0.029,-0.118,"tu, scelus, ulciscor, uindex",0.235
seneca.octavia,65.0,"ego, crudelis, sors, parens, rapio, prohibeo, lugeo, timor, frater, nex, defleo, ueto, in, quo, sum, spes, unus, ego, tot, malus, breuis, solame, -ne",23,"NaN, -1.0, -1.0, 0.5, NaN, NaN, NaN, -0.5, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.152,-0.196,"crudelis, nex",0.087
