Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.oedipus,1.0,"iam, nox, titan, dubius, expello, redeo, et, nubes, maestus, squalidus, exorior, iubar, lumen, flamma, tristis, luctificus, gero, prospicio, auidus, pestis, solo, domus",22,"NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0",-0.205,-0.205,pestis,0.045
seneca.oedipus,5.0,"strages, quam, nox, facio, ostendo, dies, quisquam, -ne, regnum, gaudeo, o, fallax, bonus, quantus, malus, frons, quam, blandus, tego, ut, altus, uenio, semper, excipio, iugum, rupes, saxum, uasto, dirimo, fretus",30,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, 1.0, NaN, -1.0, 0.0, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5",0.017,-0.067,"strages, uasto",0.067
seneca.oedipus,10.0,"quiuis, quiesco, uerbero, fluctus, mare, imperium, sic, excello, fortuna, obiaceo, quam, bene, parens, sceptrum, polybi, fugio, cura, soluo, exul, intrepidus, uago, caelum, deus, testo, in, regnum, incido",27,"NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, -1.0, 1.0, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN",0.0,-0.074,uerbero,0.037
seneca.oedipus,15.0,"infer, timeo, ne, meus, genitor, manus, perimo, hic, ego, delphicae, laurus, moneo, alius, nos, magnus, indico, scelus, sum, magnus, aliqui, pater, macto, nefas, pro, misero, pietas, eloquor, fatum, pudet»",29,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN, 1.0, NaN, 0.0, NaN",-0.034,-0.069,"hic, scelus, nefas, misero",0.138
seneca.oedipus,20.0,"thalamus, parens, phoebus, et, dirus, torus, nascor, mino, impius, incestus, fax, hic, ego, paternus, expello, regnum, timor, non, ego, penates, profugus, excedo, meus, parum, ipse, fido, nos, in, tueor, tuus",30,"NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0",-0.067,-0.083,"dirus, impius, incestus, fax, hic",0.167
seneca.oedipus,25.0,"natura, pono, ius, cum, magnus, horreo, qui, possum, fio, non, puto, metuo, tamen, cunctus, expauesco, ego, non, credo, ego, iam, iam, aliquis, in, nos, fatum, molior, paro, nam, quis, reor, qui, iste, cadmeus, luo",34,"0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.015,0.0,luo,0.029
seneca.oedipus,30.0,"infestus, gens, strages, tam, latus, edo, ego, parco, unus, qui, reseruamur, malus, inter, ruina, urbs, et, semper, nouus, defleo, lacrima, funero, atque, populus, strues, incolumis, asto, scilicet, phoebus, reus",29,"-1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN",-0.034,-0.086,"strages, reus",0.069
seneca.oedipus,35.0,"spero, possum, scelus, tantus, do, regnum, salubris, facio, caelum, noceo, non, aura, gelidus, lenis, afflo, foueo, anhelo, flamma, cor, non, zephyrus, leuo, spiro, sed, ignis, augeo, aestiferi, canis",28,"NaN, NaN, -1.0, NaN, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.089,-0.036,"scelus, noceo",0.071
seneca.oedipus,40.0,"titan, leo, tergum, nemeaei, premo, desero, amnis, umor, atque, herba, color, aro, dirce, tenuis, ismenos, fluo, et, tinguit, inops, nudo, uix, unda, uado, obscurus, caelum, labor, phoebus, soror",28,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, -0.5, NaN, NaN",-0.036,-0.054,leo,0.036
seneca.oedipus,45.0,"tero, mundus, nubilus, palleo, dies, nullus, serenus, nox, sidus, mico, sed, grauis, et, ater, incubo, terra, uapor, obtego, arx, caelitum, atque, superus, domus, infernus, facies, denego, fructus, cero",28,"NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN",0.036,-0.018,,0.0
