Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.phaedra,1.0,"eo, umbrosus, cingo, silua, summum, mons, iugum, cecropii, celer, planto, lustro, uagus, qui, saxosus, locum, parnetbo",16,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
seneca.phaedra,5.0,"subiectum, iaceo, qui, thriasiis, ualles, amnis, rapidus, curro, uerbero, unda, scando, collis, semper, canus, niuit, riphaea, hic, aegalei, qui, nemus, altus",21,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.024,0.0,"iaceo, uerbero, hic",0.143
seneca.phaedra,10.0,"texitur, alnus, qui, pratum, iaceo, qui, rorifer, mulceo, aura, zephyrus, uernus, euoco, herba, ubi, per, gracilis, leuis, ilisos",18,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.056,0.0,iaceo,0.056
seneca.phaedra,15.0,"labor, ager, piger, et, sterilis, amnis, malignus, rado, harena, tu, qui, maratho, -ne, trames, laeuus, saltus, aperio, qui, comitor, grex, paruus",21,"-0.5, 0.0, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0",-0.143,-0.143,tu,0.048
seneca.phaedra,20.0,"nocturnus, peto, pabulum, fetus, tu, qui, tepidus, subdo, auster, frigus, mollio, durus, acbarneus, alius, rupes, dulcis, hymetti, paruus, alius, calceo, aphidnas",21,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN",0.0,-0.024,tu,0.048
seneca.phaedra,25.0,"pars, ille, diu, uaco, immunis, qui, curuo, litus, pontus, sunio, -ne, urgeo, si, qui, tango, gloria, silua, uoco, hic, phlyus",20,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,hic,0.05
seneca.phaedra,30.0,"hic, uerso, metus, agricola, uulnus, multus, iam, notus, aper, at, tu, laxo, canis, taceo, mitto, habena, teneo, acer, lorum, molossos, et, pugnax, tendo, cretes",24,"NaN, NaN, -1.0, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.083,-0.083,"hic, tu",0.083
seneca.phaedra,35.0,"fortis, tero, uinum, ala, collum, at, spartanos, genus, sum, audax, auidus, fera, nodus, caueo, propior, ligo, uenio, tempus, cum, latratus, cauo, saxum, sono",23,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.022,0.0,"audax, fera",0.087
seneca.phaedra,40.0,"nunc, dimitto, naris, sagax, capto, aura, lustro, premo, quaero, rostrum, dum, lux, dubius, sum, dum, signum, pes, roscidus, tellus, imprimo, teneo, alius, rarus",23,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.022,-0.022,,0.0
seneca.phaedra,45.0,"ceruix, grauis, porto, plaga, alius, teres, propero, laqueus, pingo, rubeo, lineus, pinna, uanus, cludat, terror, ferus, tu, uibro, missilis, telis, tu, grauis, dextera, laeua, simul",25,"NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN",-0.14,-0.14,"uanus, ferus, tu, tu",0.16
seneca.phaedra,50.0,"robur, fero, dirigo, ferrum, tu, praeceps, clamor, ferus, subsessor, ago, tu, iam, uictor, curuo, soluo, uiscera, culter, adsum, en, comes, diuus, uirago",22,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",-0.023,-0.045,"tu, ferus, tu",0.136
seneca.phaedra,55.0,"qui, regnum, pars, terra, secerno, uaco, qui, certus, peto, telum, ferus, qui, gelidus, poto, araxe, -ne, et, qui, sto, ludo, in, histro",22,"NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.023,-0.045,ferus,0.045
seneca.phaedra,60.0,"tuus, gaetulos, dextera, leo, tuus, cretaeas, sequor, cerua, nunc, uelox, figo, damma, leuis, manus, tu, do, uaria, pectus, tigris, tu, uillosi, tergum, bison",23,"0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"leo, damma, tu, tu",0.174
seneca.phaedra,65.0,"fero, ferio, cornu, uro, quisquis, sol, pascor, aruum, siue, ille, arabs, diues, silua, siue, ille, inops, nosco, garamans, siue, ferox, iugum, pyrenes",22,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN",-0.068,-0.091,ferox,0.045
seneca.phaedra,70.0,"siue, hyrcani, celo, saltus, uacuus, uagus, sarmata, campus, arcus, metuo, diana, tuus, tuus, si, gratus, numen, cultor, fero, in, saltus",20,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.05,0.0,sarmata,0.05
