Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.phoenissae,1.0,"caecus, parens, regime, -ne, et, fatisco, unicus, lateo, leuame, -ne, gnata, quam, tantus, sum, ego, gigno, uel, sic, desero, infaustus, pater, in, recta, quis, deflecto, erro, gradus",27,"-1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0",-0.056,-0.074,infaustus,0.037
seneca.phoenissae,5.0,"permitto, labor, bonus, inuenio, uia, quam, quaero, solus, qui, ego, ab, hic, uito, extraho, et, hic, nefandus, capio, aspectus, leuo, caelum, atque, terra, quantulis, hic, ago, manus, non, uideo, noxa, conscius, noster, dies",33,"NaN, -0.5, 1.0, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -0.5, NaN, 0.0",-0.061,-0.106,"hic, hic, nefandus, hic, noxa, conscius",0.182
seneca.phoenissae,10.0,"sed, uideo, hinc, iam, soluo, inhaereo, manus, et, pateo, caecus, qui, uolo, fero, pedis, eo, eo, qui, praeruptus, protendo, iugum, meus, cithaero, -ne, qui, peragro, celer, per, saxum, mons, iaceo, actaeo, -ne, suus",33,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",-0.03,-0.03,iaceo,0.03
seneca.phoenissae,15.0,"nouo, praeda, canis, qui, per, obscurus, nemus, silua, opacus, ualles, instinguo, deus, ago, soror, mater, et, gaudeo, malus, uibro, figo, praefero, thyrsus, caput, uel, qui, curro, corpus, irrideo, traho",29,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",-0.034,-0.034,,0.0
seneca.phoenissae,20.0,"zethi, iuuencus, qui, per, horreo, rubus, taurus, ferox, sanguis, ostento, fugo, uel, qui, altus, mare, uertex, immensus, premo, inoa, rupes, qui, scelus, fugio, nouus, nouus, facio, mater, in-sileo, fretus",29,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, 1.0, 1.0, NaN, 0.0, NaN, 0.5",0.034,-0.069,"ferox, scelus",0.069
seneca.phoenissae,25.0,"mergo, natus, sequor, felix, qui, fortuna, bonus, tam, bonus, mater, do, sum, alius, iste, noster, in, silua, locus, qui, ego, reposco, hic, peto, cursus, incito, non, haesito, gressus, huc, omnis, dux",31,"NaN, 0.0, NaN, 1.0, NaN, 0.0, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5",0.113,0.0,hic,0.032
seneca.phoenissae,30.0,"spolio, eo, quis, moror, sedes, meus, mors, cithaero, -ne, reddo, et, hospitium, ego, ille, meus, restituo, ut, expirem, senex, ubi, debeo, infer, recipio, supplicium, uetus, semper, cruentus, saeuus, crudelis, ferox",30,"NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, -1.0",-0.133,-0.133,"supplicium, cruentus, saeuus, crudelis, ferox",0.167
seneca.phoenissae,35.0,"cum, occaedes, et, cum, parco, olim, iam, tuus, sum, hic, cadauer, perago, mando, pater, iam, et, mater, animus, gestio, antiquus, exsequor, supplicium, quis, ego, nata, pestifer, teneo, amor, uincio, quis, teneo, genitor, uoco",33,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.015,-0.03,"hic, supplicium, pestifer",0.091
seneca.phoenissae,40.0,"sequor, sequor, iam, parco, sanguineus, gero, insignis, regnum, laius, rapio, furio, en, ecce, inanis, manus, infestus, peto, fodio, uultus, nata, genitor, uideo, ego, uideo, tandem, spiritus, inimicus, expue",28,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN",-0.071,-0.071,furio,0.036
seneca.phoenissae,45.0,"desertor, animus, fortis, in, pars, tuus, omitto, poena, languidus, longus, mora, mors, totus, admitto, quis, segnis, traho, qui, uiuo, nullus, facio, iam, possum, scelus, possum, miser, praedico, discedo, ab, pater",30,"NaN, 0.5, 0.5, NaN, 0.0, 0.0, NaN, -1.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, 0.0",-0.1,-0.133,"desertor, poena, scelus, miser",0.133
seneca.phoenissae,50.0,"discedo, uirgo, timeo, post, mater, omnis, uolo, nullus, genitor, ab, tuus, noster, manus, corpus, resoluo, nemo, ego, comes, tu, eripio, umquam, labdaci, clarus, domus, opulentus, ferrum, regnum, germanus, peto",29,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN",0.0,-0.017,"uirgo, tu",0.069
seneca.phoenissae,55.0,"pars, summus, magnus, pater, e, regnum, meus, sum, pater, ipse, non, hic, aufero, frater, ego, thebana, rapio, sceptrum, qui, regnum, teneo, non, hic, caterua, alter, argolicas, ago, non, si, reuello, iuppiter, mundus, tono",33,"0.0, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN",0.03,0.0,"hic, hic",0.061
seneca.phoenissae,60.0,"medius, noster, fulmen, in, necto, cado, manus, hic, remitto, prohibeo, genitor, rego, abnuo, dirigo, inuitus, gradus, iu, planum, tendo, uado, praeruptus, appeto, non, obsto, sed, praecedo, quo, uolo, utor",29,"0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.017,-0.017,"hic, planum",0.069
seneca.phoenissae,65.0,"dux, ego, duo, omnis, eligo, uia, pereo, sine, ego, non, possum, cum, ego, possum, hic, altus, rupes, arduus, surgo, iugum, specto, longus, spatior, subicio, mare, uolo, hic, peto, nudus, hic, pendeo, silex",32,"0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.031,0.0,"hic, hic, hic",0.094
seneca.phoenissae,70.0,"hic, scissa, tellus, fauces, rumpo, hio, uolo, hic, peto, hic, rapax, torreo, cado, pars, labor, mons, ex-edo, roto, in, hic, ruo, dum, prior, quo, uolo, is, non, deprecor, non, hortor, extingui, cupio",32,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.016,"hic, hio, hic, hic, hic",0.156
seneca.phoenissae,75.0,"uotumque, genitor, magnus, mors, sum, tu, si, morior, antecedo, si, uiuo, sequor, sed, flecto, mens, pectus, antiquus, ad, uoco, uictasque, magnus, robur, aerumna, domo, resisto, tantus, in, malus, uinco, morior, sum",31,"NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.048,-0.081,tu,0.032
seneca.phoenissae,80.0,"unde, in, nefandus, specimen, egregius, domus, unde, iste, gener, uirgo, dissimilis, suus, fortuna, credo, aliquis, sum, ex, ego, pius, non, sum, umquam, fatum, bene, nosco, meus, nisi, ut, noceo, ipse, sui, in, lex, nouo",34,"NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",-0.015,-0.029,"nefandus, uirgo, noceo",0.088
seneca.phoenissae,85.0,"natura, uerto, rego, in, fons, cieo, reuoluo, unda, amnis, et, nox, affero, phoebea, lampas, hesperus, facio, dies, ut, ad, miseria, aliquis, accedo, meus, pius, quoque, sum, unicus, oedipodae, sum, salus",30,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0",0.0,-0.033,oedipodae,0.033
seneca.phoenissae,90.0,"non, sum, saluus, licet, ulciscor, pater, adhuc, inultus, dextera, quis, cesso, iners, exigo, poena, quisquis, exigo, sum, adhuc, mater, do, mitto, genitor, manus, animosus, uirgo, funus, extendi», meus",28,"NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.0",-0.036,-0.071,"ulciscor, inultus, iners, poena, uirgo",0.179
seneca.phoenissae,95.0,"longus, uiuo, dux, exsequiae, pater, aliquando, terra, corpus, inuideo, tego, pecco, honestus, mens, pietas, uoco, pater, insepultus, traho, qui, cogo, morior, nolo, in, aequus, sum, quisque, propero, impedio, neque, tamen, in, aequus, sum, alter, grauis, reor",36,"0.0, NaN, 0.5, -0.5, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, 0.5, 1.0, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN",0.069,-0.042,"honestus, insepultus",0.056
seneca.phoenissae,100.0,"occaedes, sum, uetaris, cupio, morior, malus, imperaris, quam, eripio, mors, ego, desisto, coepio, uirgo, ius, uita, atque, nex, meus, penis, ego, sum, regnum, desero, libet",25,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",-0.1,-0.12,"uirgo, nex",0.08
seneca.phoenissae,105.0,"regnum, meus, retineo, si, fidus, sum, comes, ensis, parens, trado, sed, notus, nex, ensis, paternus, trado, an, nascor, teneo, cum, regnum, et, ille, facinus, ubicumque, sum, opus, ibi, sum, relinquo, nascor, hic, habeo, meus",34,"0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,-0.059,"nex, facinus, hic",0.088
seneca.phoenissae,110.0,"sed, uterque, flamma, potis, et, uastus, aggero, compono, in, alo, ipse, ego, immitto, rogus, haereo, ad, ignis, funebris, escendo, strues, pectus, soluo, durus, et, in, cinis, do, hic, quisquis, in, ego, uiuo, ubi, saeuus, sum, mare",36,"NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0",-0.083,-0.083,"uastus, rogus, hic, saeuus",0.111
seneca.phoenissae,115.0,"duco, ubi, sum, altus, proruo, saxum, iugum, ubi, toruus, rapidus, duco, ismenos, uado, duco, ubi, fera, sum, ubi, fretus, ubi, praeceps, locus, si, dux, sum, illic, eo, morior, placeo, ubi, sedeo, altus, rupes, semifer, dolus",35,"NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN",0.057,0.0,"fera, semifer, dolus",0.086
seneca.phoenissae,120.0,"sphinx, os, necto, dirigo, huc, gressus, pes, hic, sisto, pater, dirus, ne, sedes, uaco, monstrum, repono, magnus, hic, saxum, insideo, obscurus, noster, uerbum, fortuna, loquor, qui, nemo, soluo, quisquis, assyrio, locum",31,"NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, -1.0, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN",-0.032,-0.048,"hic, dirus, monstrum, hic, assyrio",0.161
seneca.phoenissae,125.0,"possessus, rex, scindo, et, cadmi, nemus, serpo, notus, sacer, quo, dirce, lateo, supplex, adoro, quisquis, eurota, -ne, bibo, spartamque, frater, nobilis, geminus, colo, quisque, elis, -ne, et, parnaso, -ne, et, boeotios",31,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.065,0.0,serpo,0.032
seneca.phoenissae,130.0,"colonus, ager, uber, tondeo, solus, aduerto, mens, saeuus, thebaris, luo, luctificus, caecus, uerbum, committo, modus, quis, similis, pono, quis, tam, inextricabilis, auus, gener, pater, riual, suus",26,"0.0, 0.0, 1.0, NaN, -0.5, NaN, 0.5, -1.0, NaN, NaN, NaN, -1.0, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.019,-0.096,"saeuus, luo, riual",0.115
seneca.phoenissae,135.0,"frater, suus, liber, et, frater, parens, unus, auia, partus, liber, pario, uir, sui, et, nepos, monstrum, quis, tantus, explico, ego, ipse, uinco, spolium, qui, sphingis, fero, haereo, fatum, tardus, interpres, meus",31,"0.0, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.081,0.0,monstrum,0.032
seneca.phoenissae,140.0,"quis, perdo, ultra, uerbum, quis, pectus, ferus, mollio, tento, prex, hic, animus, sedeo, effundo, hic, cum, mors, luctor, diu, anima, et, tenebrae, peto, nam, scelus, hic, meus, parum, altus, nox, sum, tartaro, condo, iuuo",34,"NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN",-0.044,-0.088,"ferus, hic, hic, scelus, hic",0.147
