Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.thyestes,1.0,"quis, inferus, sedes, ab, infaustus, extraho, auidus, fugax, os, capto, cibus, quis, malus, deus, tantalo, uideo, domus, ostendo, iterum, malus, inuenio, sum, sitis",23,"NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, -0.5",-0.152,-0.152,"infaustus, fugax",0.087
seneca.thyestes,5.0,"areo, in, unda, aliquis, et, malus, fames, hio, semper, sisyphi, numquid, lapis, gesto, umerus, lubricus, noster, uenio, aut, membrum, celer, differo, cursus, rota, aut, poena, tityi, qui, specus, uasto, pateo",30,"NaN, NaN, 0.0, NaN, NaN, -1.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN",-0.083,-0.083,"hio, poena, specus, uasto",0.133
seneca.thyestes,10.0,"uiscera, ater, pasco, effodio, aueo, et, nox, reparo, quisquis, amitto, dies, plenus, recens, pabulis, monstrum, iaceo, in, qui, malus, transcribo, o, quisquis, nouo, supplicium, fungor, durus, umbraris, arbiter",28,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",-0.036,-0.054,"monstrum, iaceo, supplicium",0.107
seneca.thyestes,15.0,"dispono, addo, si, quis, ad, poena, possum, qui, ipse, custos, carcer, dirus, horreo, qui, maestus, achero, -ne, paueo, ad, qui, metus, nos, quoque, tremo, quaero, iam, noster, subeo, e, stirps, turba, qui, suus, uinco, genus",35,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",-0.114,-0.114,"poena, carcer, dirus",0.086
seneca.thyestes,20.0,"atque, ego, innocens, facio, et, inausus, audeo, regio, quisquis, impius, cesso, locus, compleo, numquam, sto, pelopea, domus, minos, uaco, pergo, detestabilis, umbra, et, penates, impii, furia, ago",27,"NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.056,-0.074,"innocens, impius, detestabilis, impii, furia",0.185
seneca.thyestes,25.0,"certo, omnis, scelus, et, alternus, uicus, stringo, ensis, ne, sum, ira, modus, pudorue, mens, caecus, instigo, furor, rabio, parens, duro, et, longus, nefas, eo, in, nepos, neque, uaco, quisquam, uetus",30,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, 0.5, -1.0, NaN, -1.0, NaN, 0.5, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",-0.117,-0.167,"scelus, furor, rabio, nefas",0.133
seneca.thyestes,30.0,"odi, crimen, semper, orior, nouus, neque, unus, in, unus, dum, punior, scelus, cresco, superbus, frater, regnum, excido, repeto, profugus, dubius, uiolentae, domus, fortuna, rex, inter, incertus, labo",27,"NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, 0.0, NaN, -0.5, NaN",-0.111,-0.148,"crimen, punior, scelus",0.111
seneca.thyestes,35.0,"miser, ex, potens, fio, ex, mitto, possum, fluctus, regnum, casus, assiduus, fero, ob, scelus, pello, cum, do, patria, deus, in, scelus, redeo, sum, tam, inuideo, omnis, quam, sui, nihil, sum, ira, qui, ueto, puto",34,"-1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.074,-0.118,"miser, scelus, scelus",0.088
seneca.thyestes,40.0,"frater, expauesco, frater, et, nascor, parens, nascor, pater, liber, pereo, malus, malus, tamen, nasco, immineo, uir, infestus, coniunx, bellum, trans, pontus, ueho, effundo, omnis, irrigo, terra, cruor",27,"0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, -1.0, -1.0, NaN, NaN, NaN, 0.5, -1.0, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN",-0.074,-0.13,cruor,0.037
seneca.thyestes,45.0,"supra, magnus, gens, exultet, dux, libido, uictrix, impius, stuprum, in, domus, leuis, sum, facinus, et, fas, et, fides, ius, omnis, pereo, non, sum, ab, uester, malus, immunis, caelum, cur, mico, stella, polus",32,"NaN, 0.0, 0.0, NaN, 0.5, -0.5, NaN, -1.0, -1.0, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN",-0.062,-0.141,"libido, impius, stuprum, facinus",0.125
seneca.thyestes,50.0,"flamma, .seruant, debeo, mundus, decus, nox, alius, fio, excido, caelum, dies, senatus, misceo, penates, odium, caedes, funero, arcesso, et, impleo, tantalo, totus, domus, orno, altus, colume, -ne, et, laurus, foris",30,"NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.033,-0.05,caedes,0.033
