Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
seneca.troades,1.0,"quicumque, regnum, findo, et, magnus, possum, dominor, aula, neque, leuo, metuo, deus, animus, res, credulus, laetus, do, ego, uideo, et, tu, troia, non, umquam, fero",25,"NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.04,-0.02,"credulus, tu",0.08
seneca.troades,5.0,"documentum, fors, magnus, quam, fragilis, locus, sto, superbus, colume, -ne, euerro, occido, polleo, asia, caelitum, egregius, labor, ad, qui, arma, uenio, et, qui, frigidus, septeni, tanai, -ne, os, pando, bibo, et, qui, uagus, uicinum, prospicio, scytha, ripa, caterua, ponticam, uidua, ferio",41,"0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.037,-0.037,"occido, uidua",0.049
seneca.troades,10.0,"et, qui, reno, primus, excipio, dies, tepidus, rubeo, tigris, -ne, in-misceo, fretus, ex-caedo, ferrum, sum, pergamum, incumbo, sui",18,"NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",0.056,0.0,,0.0
seneca.troades,15.0,"en, altus, murus, decus, congero, iaceo, tectum, aduro, regia, flamma, ambiunt, omne, latus, fumo, assaraci, domus, non, prohibeo, auidus, flamma, uictor, manus, diripio, ardeo, troia, neque, caelum, pateo",28,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN",0.036,0.0,iaceo,0.036
seneca.troades,20.0,"undo, fumus, nubes, ceu, densus, obsero, ater, fauilla, squaleo, iliacus, dies, sto, auidus, ira, uictor, et, lentus, ille, metior, oculus, atque, decem, tandem, ferus, ignosco, annus, horreo, affligo, quoque",29,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN",-0.069,-0.069,ferus,0.034
seneca.troades,25.0,"uinco, quiuis, uideo, haud, credo, sui, possum, uinco, spolium, populator, rapio, dardania, praeda, mille, non, capio, ratis, testo, deus, numen, aduerro, ego, patria, cinis, tu, rector, phrygum",27,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.037
seneca.troades,30.0,"qui, troia, totus, condio, regnum, tego, tuus, manes, quo, sto, sto, ille, et, tu, meus, liber, magnus, grex, umbra, paruus, quisquis, aduerro, accido, quicumque, phoebas, os, lympho, furo",28,"NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.018,0.0,"tu, furo",0.071
seneca.troades,35.0,"credo, deus, ueto, praedico, malus, prior, hecuba, uideo, grauidus, neque, taceo, metus, et, uanus, uates, ante, cassandram, sum, non, caueo, ignis, ithacus, aut, itbaci, comes, nocturnus, in, tu, spargo, aut, fallax, sino, -ne",33,"NaN, 0.0, NaN, NaN, -1.0, 0.5, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",-0.091,-0.106,"uanus, tu",0.061
seneca.troades,40.0,"meus, ignis, iste, sum, fax, ardeo, meus, sed, quis, ruina, urbs, euerro, gemo, uiuax, senectus, respicio, infelix, ad, hic, luctus, recens, troia, iam, uetus, sum, malus, uideo, execrandum, regia, caedes, nefas",31,"0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, -0.5, -1.0",-0.129,-0.145,"fax, infelix, hic, caedes, nefas",0.161
seneca.troades,45.0,"ipse, ad, ara, magnus, admitto, scelus, aeacidis, arma, cum, ferox, scaeuus, manus, coma, reflecto, regius, torqueo, caput, altus, nefandus, uulnus, ferrum, abdo, qui, penitus, ago, cum, recipio, libet",28,"NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.5, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.125,-0.143,"scelus, ferox, nefandus",0.107
