Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
tacitus.agricola,1.0,"clarus, uir, facio, mos, posterus, trado, antiquus, usitas, ne, noster, quidem, tempus, quamquam, incuriosus, suus, aetas, omitto, quotiens, magnus, aliqui, atque, nobilis, uirtus, uinco, atque, supergredior, sum, uitium, paruus, magnus, ciuitas, communis, ignorantia, recingo, et, inuidia, sed, apud, prior, ut, ago, dignus, memoro, pronus, magus, in, aperio, sum, ita, celeber, quisque, ingenium, ad, prodo, uirtus, memoria, sine, gratia, aut, ambitio, bonus, tantus, conscientia, pretium, duco, atque, plerusque, suus, ipse, uita, narro, fiducia, potis, mos, quam, arrogantia, arbitror, sum, neque, is, rutilio, et, scaurus, citer, fides, aut, obtrectatio, sum, adeo, uirtus, idem, tempus, optume, aestimo, qui, facilis, gigno, at, nunc, narro, ego, uita, defungor, homo, uenia, opus, sum, quam, non, peto, incuso, tam, saeuus, et, infestus, uirtus, tempus",117,"0.5, 0.5, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, 0.5, 0.0, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 1.0, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, 1.0, 0.0",0.107,-0.043,"inuidia, ambitio, conscientia, pretium, saeuus",0.043
tacitus.agricola,2.0,"lego, cum, aruleno, rusticus, paetus, thrasea, herennio, senecio, priscus, heluidius, laudo, sum, capital, sum, neque, in, ipse, modo, auctor, sed, in, liber, quoque, is, saeuio, delego, triumuiri, ministerium, ut, monumentum, clarus, ingeniosus, in, comitium, atque, forum, uro, scilicet, ille, ignis, uoco, populus, romanus, et, libertas, senatus, et, conscientia, genus, humanus, aboleo, arbitror, expello, insuper, sapientia, professor, atque, omnis, bonus, ars, in, exsilium, ago, ne, quis, usquam, honestus, occurro, do, profecto, grandis, patientia, documentum, et, sicut, uetus, aetas, uideo, quis, ulter, in, libertas, sum, ita, nos, quis, in, seruitus, adimo, per, inquisitio, etiam, loquor, audio, commercium, memoria, quoque, ipse, cum, uox, perdo, si, tam, in, noster, potestas, sum, obliuiscor, quam, taceo",110,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.045,-0.032,"saeuio, conscientia, honestus, seruitus",0.036
tacitus.agricola,3.0,"nunc, demum, redeo, animus, et, quamquam, primus, statim, beatus, saeculis, ortus, nerua, caesar, res, olim, dissociabilis, misceo, principatus, atque, libertas, augeo, cottidie, felicitas, tempus, nerua, traianus, neque, spes, modo, atque, uoueo, securitas, publicus, sed, ipse, uoueo, fiducia, atque, robur, ad-sumo, natura, tamen, infirmitas, humanus, tardus, sum, remedio, quam, malus, et, ut, corpus, noster, lentus, augesco, cito, extinguuntur, sic, ingenium, studium, opprimo, facilis, quam, reuoco, subeo, quippe, etiam, ipse, inertia, dulcedo, et, inuideo, primus, desidia, postremo, amo, quis, si, per, quindecim, annus, grandis, mortalis, aeuum, spatium, multus, fortuitus, casus, promo, quisque, saeuitia, princeps, interciderunt, paucus, et, ut, ita, dico, non, modo, alius, sed, etiam, noster, superstito, sum, eximo, e, medius, uito, tot, annus, qui, iuuenis, ad, senectus, senex, prope, ad, ipse, exigo, aetas, terminus, per, silentium, uenio, non, tamen, pigeo, uel, inconditus, atque, rudo, uox, memoria, prior, seruitus, atque, testimonium, praesens, bonus, compono, hic, interim, liber, honor, agricola, socer, meus, destino, professio, pietas, aut, laudo, sum, aut, excuso",157,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.5, -0.5, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.064,-0.029,"inertia, dulcedo, saeuitia, seruitus, hic",0.032
tacitus.agricola,4.0,"gnaeus, iulius, agricola, ueto, et, illustris, foroiuliensium, colonia, ortus, uterque, auus, procurator, caesar, habeo, qui, equester, nobilitas, sum, pater, ille, iulius, graecinus, senatorius, ordo, studium, eloquentia, sapientia, notus, is, ipse, uirtus, ira, gaius, caesar, mereor, namque, marcus, silanus, accuso, iubeo, et, quia, abnuo, interficio, sum, mater, iulius, procilla, sum, rarus, castitas, in, hic, sinus, indulgeo, educo, per, omnis, honestaris, ars, cultus, pueritia, adulescentia, transigo, arceo, is, ab, illecebra, pecco, praeter, ipse, bonus, integer, natura, qui, statim, paruulus, sedes, atque, magistra, studium, massilia, habeo, locus, graecus, comitas, et, prouincial, parsimonia, misceo, atque, bene, compono, memoria, teneo, soleo, ipse, narro, sui, primus, in, iuuenta, studium, philosophia, acer, ultra, quam, concedo, romanus, atque, senator, haurio, ni, prudentia, mater, incendo, atque, flagro, animus, coercuisset, scilicet, sublimis, et, erigo, ingenium, pulchritudo, atque, species, magnus, excello, gloria, uehemens, quam, caueo, adpeto, mox, mitigo, ratio, et, aetas, retineo, qui, sum, difficilis, ex, sapientia, modus",147,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 1.0, 0.0, NaN, NaN, 1.0, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, 1.0, 0.5",0.085,-0.014,"interficio, hic, indulgeo, illecebra, parsimonia",0.034
tacitus.agricola,5.0,"primus, castrum, rudimentum, in, britannia, suetonio, paulino, diligo, atque, modero, duco, ad-probo, eligo, qui, contubernium, aestimo, neque, agricola, licenter, mos, iuuenis, qui, militia, in, lasciuia, uerto, neque, segnis, ad, uoluptas, et, commeatus, titulis, tribunatus, et, inscitia, refero, sed, nosco, prouincia, nosco, exercitus, disco, ab, peritus, sequor, bonus, nihil, ad-peto, in, iactatio, nihil, ob, formido, recusaris, simul, et, anxius, et, intendo, ago, non, sanus, alius, exercito, magus, in, ambiguus, britannia, sum, trucido, ueteranus, incendo, colonia, intercipio, exercitus, tum, de, salus, mox, de, uictoria, certo, qui, cunctus, etsi, consilium, duco, alter, ago, atque, summus, res, et, recipero, prouincia, gloria, in, dux, cedo, ars, et, usus, et, stimulus, addo, iuuenis, intro, animus, militaris, gloria, cupido, ingratus, tempus, qui, sinistra, erga, emineo, interpretatio, neque, paruus, periculum, ex, magnus, fama, quam, ex, malus",128,"0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, 0.0, -0.5, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.0, 1.0, NaN, NaN, -1.0",0.016,-0.047,"lasciuia, stimulus, ingratus",0.023
tacitus.agricola,6.0,"hinc, ad, capesso, magistratus, in, urbs, degredior, domitius, decidianam, splendidus, natal, orior, sui, iungo, is, matrimonium, ad, magnus, niteo, decus, atque, robur, sum, uiuo, mirus, concordia, per, mutuus, caritas, et, in, uicis, sui, antepono, nisi, qui, in, bonus, uxor, tantus, magnus, laus, quantus, in, malus, multus, culpa, sum, sors, quaestura, prouincia, asia, pro, consul, saluium, titianum, do, qui, neuter, corrumpo, sum, quamquam, et, prouincia, diues, atque, paro, pecco, et, pro, consul, in, omnis, auiditas, pronus, quantus, facilitas, re-emo, sum, mutuus, dissimulatio, malus, augeo, sum, ibi, filia, in, subsidium, simul, atque, solacium, nam, filius, ante, tollo, breuis, amitto, mox, inter, quaestura, atque, tribunatus, plebs, atque, ipse, etiam, tribunatus, annus, quiesco, et, otium, transeo, gnarus, sub, nero, tempus, qui, inertia, pro, sapientia, sum, idem, praetura, tenor, et, silentium, neque, enim, iurisdictio, obuenio, ludus, et, inanis, honor, medium, ratio, atque, abundantia, duco, uti, longus, ab, luxuria, ita, fama, propior, tum, eligo, ab, galba, ad, donum, templum, recognosco, diligens, conquisitio, efficio, ne, qui, alter, sacrilegium, res, publicus, quam, nero, sentio",166,"NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 1.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, 1.0, NaN, NaN, -1.0, 0.0, -1.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN",0.054,-0.036,"matrimonium, uxor, culpa, otium, inertia, luxuria, sacrilegium",0.042
tacitus.agricola,7.0,"sequor, annus, grauis, uulnus, animus, domus, is, affligo, nam, classis, othoniana, licenter, uago, dum, intimilium, liguriae, pars, sum, hostilis, populo, mater, agricola, in, praedium, suus, interfacio, praedium, ipse, et, magnus, patrimonium, pars, diripio, qui, causa, caedes, sum, igitur, ad, sollemne, pietas, proficiscor, agricola, nuntio, adfectas, ab, uespasiano, imperium, deprehendo, atque, statim, in, pars, transgredior, sum, initium, principatus, atque, status, urbs, mucianus, rego, iuuenis, admodum, domitianus, et, ex, paternus, fortuna, tantus, licentia, usurpo, is, mitto, ad, delectus, ago, agricola, integer, atque, strenuus, uerso, uicesimus, legio, tardus, ad, sacramentum, transgredior, praepono, ubi, decessor, seditiosus, ago, narro, quippe, legatus, quoque, consularis, nimius, atque, formidulosus, sum, neque, legatus, praetorius, ad, cohibeo, possum, incertus, suus, an, miles, ingenium, ita, successor, simul, et, ultor, eligo, rarus, moderatio, malo, uideo, inuenio, bonus, quam, facio",127,"NaN, 0.0, -0.5, -1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN",0.008,-0.039,"classis, hostilis, praedium, interfacio, praedium, caedes, licentia, seditiosus, nimius, ultor",0.079
tacitus.agricola,8.0,"praesum, tunc, britanniae, uettius, bolanus, placidus, quam, ferox, prouincia, dignus, sum, tempero, agricola, uis, suus, ardor, compesco, ne, in-cresco, pereo, obsequor, erudio, utilis, honestus, misceo, breuis, deinde, britannia, consularis, petilium, cerial, accipio, habeo, uirtus, spatium, exemplum, sed, primus, cerial, labor, modo, et, discrimino, mox, et, gloria, communico, saepe, pario, exercitus, in, experimentum, aliquando, magnus, copia, ex, euenio, praeficio, neque, agricola, umquam, in, suus, fama, gero, exultauit, ad, auctor, atque, dux, ut, minister, fortuna, refero, ita, uirtus, in, obsequor, uerecundia, in, praedico, extra, inuidia, neque, extra, gloria, sum",87,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, 0.0, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN",0.098,-0.029,"ferox, honestus, inuidia",0.034
tacitus.agricola,9.0,"reuorto, ab, legatio, legio, diuus, uespasianus, inter, patricius, ad-scio, atque, deinde, prouincia, aquitaniae, praepono, splendidus, imprimis, dignitas, administratio, atque, spes, consulatus, qui, destino, credo, plerusque, militaris, ingenium, subtilitas, desum, quia, castrensis, iurisdictio, securus, et, obtundo, atque, multus, manus, ago, calliditas, forum, non, exerceo, agricola, natural, prudentia, quiuis, inter, togatus, facilis, iustus, ago, iam, uerus, tempus, cura, remissio, diuido, ubi, conuenio, atque, iudicium, posco, grauis, intendo, seuerus, et, saepis, misericors, ubi, officium, satis, facio, nullus, ultra, potestas, persono, tristitia, et, arrogantia, et, auaritia, exuo, neque, ille, qui, sum, rarus, aut, facilitas, auctoritas, aut, seueritas, amor, deminuo, integritas, atque, abstinentia, in, tantus, uir, refero, iniuria, uirtus, sum, ne, fama, quidem, qui, saepe, etiam, bonus, indulgeo, ostento, uirtus, aut, per, ars, quaero, procul, ab, aemulatio, aduerro, collega, procul, ab, contentio, aduerro, procurator, et, uinco, inglorius, et, attero, sordidus, arbitror, paruus, triennium, in, is, legatio, detendo, atque, statim, ad, spes, consulatus, reuoco, sum, comito, opinio, britanniam, is, prouincia, do, nullus, in, hic, ipse, sermo, sed, quia, par, uideo, haud, semper, erro, fama, aliquando, et, eligo, consul, egregius, tum, spes, filia, iuuenis, ego, despondeo, atque, post, consulatus, colloco, et, statim, britanniae, praepono, sum, adicio, pontificatus, sacerdotium",191,"NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.5, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, -1.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.073,-0.034,"misericors, auaritia, seueritas, indulgeo, sordidus, hic",0.031
tacitus.agricola,10.0,"britanniae, sino, populus, multus, scriptor, memoro, non, in, comparatio, cura, ingenium, refero, sed, quia, tum, primus, perdomo, sum, ita, qui, prior, nondum, comperio, eloquentia, percolo, res, fides, trado, britannia, insularis, qui, romana, notitia, complector, maximus, spatium, atque, caelum, in, orior, germania, in, occaedes, hispaniae, obtendo, galli, in, meridio, etiam, inspicio, septentrionalia, is, nullus, contra, terra, uasto, atque, aperio, mare, pulso, forma, totus, britanniae, liuius, uetus, fabius, rusticus, recens, eloquens, auctor, oblongus, scutula, uel, bipennis, ad-simulo, et, sum, is, facies, citer, caledoniam, unde, et, in, uniuersus, fama, transgredior, immensus, et, enormis, spatium, procurro, exter, iam, litus, terra, uelut, in, cuneus, tenuo, hic, ora, nouus, mare, tunc, primus, romana, classis, circumuehor, insula, sum, britanniam, ad-firmo, atque, simul, incognitus, ad, is, tempus, insula, qui, orcadas, uoco, inuenio, domo, dispicio, sum, et, thulis, quia, hactenus, iubeo, et, hiems, adpeto, sed, mare, piger, et, grauis, remigo, perhibeo, ne, uenio, quidem, perinde, attollo, credo, qui, rarus, terra, mons, causa, atque, materia, tempestas, et, profundus, moles, contineo, mare, tardus, impello, natura, oceani, atque, aestus, neque, quaero, hic, opus, sum, atque, multus, refero, unus, addo, nusquam, fero, dominaris, mare, multus, flumen, huc, atque, illic, fero, neque, litus, tenus, ad-cresco, aut, resorbeo, sed, influo, penitus, atque, amb-eo, et, iugum, etiam, atque, mons, insero, uelut, in, suus",207,"NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.024,-0.01,"uasto, hic, classis, profundus, hic",0.024
